,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
The Secret of NIMH (1982),69.0,93%,The Secret of NIMH (1982),67,G,"Kids & family, Fantasy, Animation",English,Don Bluth,"Gary Goldman, Don Bluth","Don Bluth, Will Finn, Gary Goldman, John Pomeroy","Jul 30, 1982 original","Nov 16, 2004",,1h 22m,"United Artists, Metro-Goldwyn-Mayer","Dolby, Surround","35mm, 1.66:1, Flat (1.85:1)",
A Shaun the Sheep Movie: Farmageddon (2020),70.0,96%,A Shaun the Sheep Movie: Farmageddon (2020),79,G,"Animation, Sci-fi, Comedy, Kids & family, Adventure",English (United Kingdom),"Richard Phelan, Will Becher",Paul Kewley,"Mark Burton, Jon Brown",,"Feb 14, 2020",,1h 27m,,"Dolby Atmos, DTS",Scope (2.35:1),
Bambi (1942),71.0,91%,Bambi (1942),54,G,"Kids & family, Fantasy, Animation",English,David Hand,Walt Disney,Larry Morey,"Aug 21, 1942 original","Apr 29, 2008",$38.1M,1h 10m,RKO Radio Pictures,Stereo,,
The Little Mermaid (1989),72.0,93%,The Little Mermaid (1989),71,G,"Kids & family, Fantasy, Animation",English,"Ron Clements, John Musker","Howard Ashman, John Musker","Roger Allers, Ron Clements, John Musker","Nov 15, 1989 original","Oct 1, 2013",$109.9M,1h 22m,"Buena Vista Distribution Co. Inc., BV International Pictures [no]","Surround, Stereo, Magnetic Stereo 6 Track",35mm,
How to Train Your Dragon 2 (2014),73.0,91%,How to Train Your Dragon 2 (2014),188,PG (Some Mild Rude Humor|Adventure Action),"Fantasy, Animation, Kids & family, Adventure, Comedy",English,"Dean DeBlois, Tom Owens",Bonnie Arnold,Dean DeBlois,"Jun 13, 2014 wide","Nov 11, 2014",$177.0M,1h 42m,20th Century Fox,"Datasat, SDDS, Dolby Atmos",,How to Train Your Dragon
The Triplets of Belleville (2003),74.0,94%,The Triplets of Belleville (2003),150,PG-13 (Violence|Sensuality|Crude Humor),"Comedy, Animation",French (Canada),Sylvain Chomet,Didier Brunner,,"Nov 21, 2003 original","May 4, 2004",$7.0M,1h 22m,Sony Pictures Classics,,,
Lady and the Tramp (1955),75.0,93%,Lady and the Tramp (1955),43,G,"Kids & family, Fantasy, Animation",English,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Walt Disney,"Ward Greene, Erdman Penner, Joe Rinaldi, Ralph Wright, Don DaGradi","Jun 22, 1955 wide","Feb 7, 2012",,1h 15m,"BV International Pictures [no], Buena Vista Pictures",Surround,,
Princess Mononoke (Mononoke-hime) (1999),76.0,93%,Princess Mononoke (Mononoke-hime) (1999),112,PG-13 (Images of Violence and Gore),"Fantasy, Anime, Adventure",Japanese,Hayao Miyazaki,Toshio Suzuki,"Neil Gaiman, Hayao Miyazaki","Jul 12, 1997 original","Jul 20, 2000",,2h 13m,Miramax Films,"Dolby Digital, Dolby A, Dolby SR",Flat (1.85:1),
My Neighbor Totoro (1988),77.0,94%,My Neighbor Totoro (1988),54,G,"Fantasy, Anime",Japanese,Hayao Miyazaki,,Hayao Miyazaki,,"Feb 28, 2006",,1h 27m,,Dolby Stereo,Flat (1.85:1),
Arthur Christmas (2011),78.0,92%,Arthur Christmas (2011),169,PG (Some Mild Rude Humor),"Drama, Fantasy, Animation, Other, Kids & family, Comedy",English,Sarah Smith,"Peter Lord, David Sproxton, Carla Shelley, Steve Pegram","Peter Baynham, Sarah Smith","Nov 23, 2011 wide","Nov 6, 2012",$46.4M,1h 40m,Sony Pictures Entertainment,"SDDS, Dolby Digital",,
