,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Chinatown (1974),29.0,99%,Chinatown (1974),76,R,"Drama, Crime",English,Roman Polanski,Robert Evans,"Robert Towne, Roman Polanski","Jun 20, 1974 original","Nov 23, 1999",,2h 11m,Paramount Pictures,Mono,,
The Lady Vanishes (1938),30.0,98%,The Lady Vanishes (1938),45,,Mystery & thriller,English (United Kingdom),Alfred Hitchcock,Edward Black,"Ethel Lina White, Sidney Gilliat, Frank Launder","Nov 1, 1938 wide","Jul 25, 2000",,1h 37m,"Gaumont British Distributors, Criterion Collection, Metro-Goldwyn-Mayer Distributing Corp.",Mono,35mm,
Skyfall (2012),31.0,92%,Skyfall (2012),384,PG-13 (Language|Intense Violent Sequences|Smoking|Some Sexuality),"Mystery & thriller, Adventure, Action",English,Sam Mendes,"Michael G. Wilson, Barbara Broccoli","Neal Purvis, Robert Wade, John Logan","Nov 9, 2012 wide","Feb 12, 2013",$304.4M,2h 23m,Sony Pictures Entertainment,"SDDS, Dolby Digital, Datasat",,James Bond 007
The 39 Steps (1935),32.0,96%,The 39 Steps (1935),53,,Mystery & thriller,English (United Kingdom),Alfred Hitchcock,"Michael Balcon, Ivor Montagu","John Buchan, Charles Bennett, Ian Hay","Jun 18, 1935 original","Nov 2, 1999",,1h 20m,"LS Video, Gaumont British Distributors, Grapevine Video",Mono,,
Harry Potter and the Deathly Hallows - Part 2 (2011),33.0,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332,PG-13 (Seq of Intense Action Violence|Frightening Images),"Fantasy, Adventure",English,David Yates,"David Heyman, David Barron, J.K. Rowling",Steve Kloves,"Jul 15, 2011 wide","Nov 11, 2011",$381.0M,2h 11m,Warner Bros. Pictures,"SDDS, Dolby Digital",,Harry Potter
The Thin Man (1934),34.0,98%,The Thin Man (1934),43,,"Drama, Comedy",English,W. S. Van Dyke II,Hunt Stromberg,"Dashiell Hammett, Albert Hackett, Frances Goodrich","Jun 1, 1934 wide","Aug 2, 2005",,1h 33m,Metro-Goldwyn-Mayer,,,
Touch of Evil (1958),35.0,95%,Touch of Evil (1958),79,,"Drama, Mystery & thriller, Crime",English,Orson Welles,Albert Zugsmith,"Orson Welles, Paul Monash, Franklin Coen",,"Jul 6, 2004",,1h 35m,,,,
Rashômon (1951),36.0,98%,Rashômon (1951),56,,Drama,Japanese,Akira Kurosawa,Minoru Jingo,"Ryûnosuke Akutagawa, Shinobu Hashimoto, Akira Kurosawa","Dec 26, 1950 wide","Apr 2, 2002",,1h 28m,RKO Radio Pictures,Mono,Academy (1.33:1),
Taxi Driver (1976),37.0,96%,Taxi Driver (1976),94,R,Drama,English,Martin Scorsese,"Julia Phillips, Michael Phillips",Paul Schrader,"Feb 8, 1976 wide","Aug 14, 2007",,1h 53m,Columbia Pictures,Stereo,,
Vertigo (1958),38.0,94%,Vertigo (1958),84,PG,Mystery & thriller,English,Alfred Hitchcock,Alfred Hitchcock,"Pierre Boileau, Thomas Narcejac, Samuel A. Taylor, Alec Coppel","May 9, 1958 wide","Jan 25, 2001",$1.8M,2h 8m,Paramount Pictures,,Flat (1.85:1),
Nightcrawler (2014),39.0,95%,Nightcrawler (2014),275,R (Language|Graphic Images|Violence),"Drama, Mystery & thriller, Crime",English,Dan Gilroy,"Michel Litvak, Jake Gyllenhaal, David Lancaster, Jennifer Fox, Tony Gilroy",Dan Gilroy,"Oct 31, 2014 wide","Feb 10, 2015",$32.4M,1h 57m,Open Road,"Datasat, Dolby Digital",,
The Wages of Fear (1953),40.0,100%,The Wages of Fear (1953),45,,Mystery & thriller,French (Canada),Henri-Georges Clouzot,"Raymond Borderie, Henri-Georges Clouzot, Louis Wipf","Henri-Georges Clouzot, Georges Arnaud, Jérôme Géronimi","Jan 1, 1953 wide","Oct 25, 2005",,2h 36m,DCA Releasing,Mono,Academy (1.33:1),
Strangers on a Train (1951),41.0,98%,Strangers on a Train (1951),52,PG,Mystery & thriller,English,Alfred Hitchcock,Alfred Hitchcock,"Whitfield Cook, Patricia Highsmith, Czenzi Ormonde","Jun 30, 1951 original","Jan 6, 1998",,1h 41m,Warner Bros. Pictures,Mono,35mm,
The Post (2018),42.0,88%,The Post (2018),409,PG-13 (Language|Brief War Violence),"Drama, History",English,Steven Spielberg,"Amy Pascal, Kristie Macosko Krieger, Steven Spielberg","Liz Hannah, Josh Singer","Jan 12, 2018 wide","Apr 17, 2018",$81.4M,1h 55m,20th Century Fox,Dolby Digital,Flat (1.85:1),
The Big Sleep (1946),43.0,97%,The Big Sleep (1946),65,,"Drama, Mystery & thriller, Crime",English,Howard Hawks,Howard Hawks,"William Faulkner, Leigh Brackett, Jules Furthman","Aug 31, 1946 original","Feb 15, 2000",,1h 54m,Warner Bros.,,,
Goldfinger (1964),44.0,99%,Goldfinger (1964),69,PG,Action,English,Guy Hamilton,"Albert R. Broccoli, Harry Saltzman","Ian Fleming, Richard Maibaum, Paul Dehn","Dec 25, 1964 wide","Nov 7, 2006",,1h 52m,United Artists,Mono,Flat (1.85:1),James Bond 007
Anatomy of a Murder (1959),45.0,100%,Anatomy of a Murder (1959),50,,"Drama, Mystery & thriller, Crime",English,Otto Preminger,Otto Preminger,"John D. Voelker, Wendell Mayes","Jul 1, 1959 original","Jul 11, 2000",,2h 40m,Columbia Pictures,Mono,Flat (1.85:1),
Invasion of the Body Snatchers (1956),46.0,98%,Invasion of the Body Snatchers (1956),58,,"Sci-fi, Horror",English,Don Siegel,Walter Wanger,Daniel Mainwaring,"Feb 5, 1956 original","Jun 23, 1998",,1h 20m,,,,
High Noon (1952),47.0,95%,High Noon (1952),60,PG (Some Western Violence|Smoking),Western,English,Fred Zinnemann,Stanley Kramer,"John W. Cunningham, Carl Foreman","Jul 24, 1952 original","Oct 22, 2002",,1h 25m,"Criterion Collection, Republic Pictures, United Artists",,,
Freaks (1932),48.0,95%,Freaks (1932),55,,Horror,English,Tod Browning,"Tod Browning, Dwain Esper, Hildegarde Stadie, Irving Thalberg","Al Boasberg, Willis Goldbeck, Leon Gordon, Edgar Allan Woolf","Feb 20, 1932 original","May 19, 2009",,1h 4m,Metro-Goldwyn-Mayer,"Stereo, Mono","35mm, Flat (1.37:1)",
His House (2020),49.0,100%,His House (2020),119,,"Mystery & thriller, Horror",English (United Kingdom),Remi Weekes,Aidan Elliott,Remi Weekes,,"Oct 30, 2020",,1h 33m,,,Scope (2.35:1),
The Night of the Hunter (1955),50.0,95%,The Night of the Hunter (1955),77,,Mystery & thriller,English,Charles Laughton,Paul Gregory,"James Agee, Charles Laughton","Sep 29, 1955 original","Jan 25, 2000",,1h 32m,United Artists,Mono,35mm,
The Taking of Pelham One Two Three (1974),51.0,100%,The Taking of Pelham One Two Three (1974),43,R,"Drama, Mystery & thriller, Crime, Action",English,Joseph Sargent,"Gabriel Katzka, Edgar J. Scherick","John Godey, Peter Stone","Oct 2, 1974 limited","Feb 29, 2000",,1h 44m,United Artists,,,
In the Heat of the Night (1967),52.0,95%,In the Heat of the Night (1967),83,,"Drama, Crime",English,Norman Jewison,Walter Mirisch,Stirling Silliphant,"Aug 2, 1967 wide","Jan 9, 2001",,1h 49m,MGM/UA Home Entertainment Inc.,,Flat (1.85:1),
In a Lonely Place (1950),53.0,98%,In a Lonely Place (1950),47,,Drama,English,Nicholas Ray,Robert Lord,"Dorothy B. Hughes, Edmund H. North, Andrew Solt","May 17, 1950 wide","Mar 18, 2003",,1h 31m,Columbia Pictures,Mono,"Flat (1.37:1), 35mm",
Halloween (1978),54.0,96%,Halloween (1978),78,R,"Horror, Mystery & thriller, Other",English,John Carpenter,"Debra Hill, John Carpenter","Debra Hill, John Carpenter","Oct 25, 1978 wide","Sep 28, 1999",$47.5M,1h 31m,Compass International Pictures,Mono,Scope (2.35:1),Halloween
The Silence of the Lambs (1991),55.0,96%,The Silence of the Lambs (1991),105,R,"Drama, Mystery & thriller, Crime",English,Jonathan Demme,"Ronald M. Bozman, Edward Saxon, Kenneth Utt","Thomas Harris, Ted Tally","Feb 13, 1991 wide","Aug 21, 2001",$130.7M,1h 59m,Orion Pictures,"Dolby Stereo, Dolby SR, Surround",Flat (1.66:1),
The Salesman (Forushande) (2017),56.0,96%,The Salesman (Forushande) (2017),196,PG-13 (Mature Thematic Elements|A Brief Bloody Image),"Drama, Mystery & thriller",Persian,Asghar Farhadi,"Alexandre Mallet-Guy, Asghar Farhadi",Asghar Farhadi,"Jan 27, 2017 limited","May 2, 2017",$3.4M,2h 5m,"Amazon Studios, Cohen Media Group",,,
Rosemary's Baby (1968),57.0,96%,Rosemary's Baby (1968),74,R,Horror,English,Roman Polanski,William Castle,"Roman Polanski, Ira Levin","Jun 12, 1968 wide","Oct 3, 2000",,2h 16m,Paramount Pictures,Mono,Flat (1.85:1),
Sunrise: A Song of Two Humans (1927),58.0,98%,Sunrise: A Song of Two Humans (1927),62,,"Drama, Romance",English,F.W. Murnau,William Fox,"Hermann Sudermann, Carl Mayer, Katherine Hilliker, H.H. Caldwell","Sep 23, 1927 wide","Oct 12, 2004",,1h 50m,"Critics' Choice Video, Fox",Mono,,
The Conversation (1974),59.0,97%,The Conversation (1974),62,PG,Mystery & thriller,English,Francis Ford Coppola,Francis Ford Coppola,Francis Ford Coppola,"Apr 7, 1974 original","Aug 17, 2010",$103.8K,1h 53m,Paramount Pictures,,,
Detour (1945),60.0,98%,Detour (1945),41,,"Drama, Crime",English,Edgar G. Ulmer,Leon Fromkess,,"Nov 30, 1945 original","Oct 22, 2002",$12.2K,1h 9m,,,,
The Trial of the Chicago 7 (2020),61.0,89%,The Trial of the Chicago 7 (2020),331,R (Drug Use|Bloody Images|Language Throughout|Some Violence),"Drama, History",English,Aaron Sorkin,"Stuart M. Besser, Matt Jackson, Tyler Thompson, Marc Platt",Aaron Sorkin,"Oct 16, 2020 limited","Oct 16, 2020",,2h 9m,Netflix,Dolby Digital,Scope (2.35:1),
Eye In The Sky (2016),62.0,95%,Eye In The Sky (2016),221,R (Some Violent Images|Language),"Drama, Mystery & thriller, War",English,Gavin Hood,"David Lancaster, Colin Firth, Ged Doherty",Guy Hibbert,"Apr 1, 2016 wide","Jun 28, 2016",$18.7M,1h 42m,Bleecker Street Media,,,
All Is Lost (2013),63.0,94%,All Is Lost (2013),240,PG-13 (Brief Strong Language),"Drama, Mystery & thriller, Adventure",English,J.C. Chandor,"Neal Dodson, Anna Gerb, Justin Nappi, Teddy Schwarzman",J.C. Chandor,"Oct 18, 2013 limited","Feb 11, 2014",$6.3M,1h 45m,Roadside Attractions,Dolby Digital,,
Eyes Without a Face (1962),64.0,98%,Eyes Without a Face (1962),55,,"Drama, Horror",French (Canada),Georges Franju,Jules Borkon,"Pierre Boileau, Pierre Gascar, Thomas Narcejac, Jean Redon, Claude Sautet","Oct 31, 1962 original","Oct 19, 2004",$52.7K,1h 24m,"Rialto Pictures, United Artists, Lopert Pictures Corp.",,,
Looper (2012),65.0,93%,Looper (2012),270,R (Language|Drug Content|Some Sexuality/Nudity|Strong Violence),"Mystery & thriller, Sci-fi, Action",English,Rian Johnson,"Ram Bergman, James D. Stern",Rian Johnson,"Sep 28, 2012 wide","Dec 31, 2012",$66.3M,1h 59m,Sony Pictures Entertainment,,Scope (2.35:1),
Casino Royale (2006),66.0,94%,Casino Royale (2006),264,PG-13 (Nudity|A Scene of Torture|Sequences of Violent Action|Sexual Content),"Mystery & thriller, Adventure, Action",English,Martin Campbell,"Barbara Broccoli, Michael G. Wilson","Neal Purvis, Robert Wade, Anthony Waye, Ian Fleming","Nov 17, 2006 wide","Mar 13, 2007",$167.0M,2h 24m,Sony Pictures Entertainment,"Dolby SRD, DTS, SDDS",Scope (2.35:1),James Bond 007
Possessor: Uncut (2020),67.0,94%,Possessor: Uncut (2020),219,R (Strong Sexual Content|Strong Bloody Violence|Brief Drug Use|Language|Some Graphic Nudity),"Mystery & thriller, Sci-fi, Horror",English,Brandon Cronenberg,"Fraser Ash, Niv Fichman, Kevin Krikst, Andrew Starke",Brandon Cronenberg,,"Dec 8, 2020",$745.8K,1h 42m,,,,
Badlands (1974),68.0,97%,Badlands (1974),59,PG,"Drama, Crime",English,Terrence Malick,Terrence Malick,Terrence Malick,"Oct 15, 1973 original","Apr 27, 1999",,1h 35m,Warner Bros. Pictures,Mono,35mm,
Repulsion (1965),69.0,95%,Repulsion (1965),65,,Horror,English,Roman Polanski,Gene Gutowski,"Roman Polanski, Gérard Brach, David Stone",,"Feb 8, 2005",,1h 45m,,Mono,35mm,
Le Cercle Rouge (1970),70.0,95%,Le Cercle Rouge (1970),65,,"Drama, Crime",French (France),Jean-Pierre Melville,,Jean-Pierre Melville,"Jan 2, 1970 wide","Oct 28, 2003",$58.1K,2h 20m,Rialto Pictures,Mono,,
101 Dalmatians (1961),71.0,98%,101 Dalmatians (1961),52,G,"Kids & family, Adventure, Comedy, Animation",English,"Wolfgang Reitherman, Hamilton Luske, Clyde Geronimi",Walt Disney,"Bill Peet, Dodie Smith",,"Mar 4, 2008",$91.3M,1h 19m,,Surround,,
The Cabin in the Woods (2012),72.0,92%,The Cabin in the Woods (2012),289,R (Gore|Drug Use|Strong Horror Violence|Language|Some Sexuality/Nudity|Strong Bloody Violence),"Comedy, Horror",English,Drew Goddard,Joss Whedon,"Joss Whedon, Drew Goddard","Apr 13, 2012 wide","Sep 18, 2012",$42.0M,1h 35m,Lionsgate Films,"Datasat, SDDS, Dolby Digital",,
Stalker (1979),73.0,100%,Stalker (1979),41,TV14,"Adventure, Sci-fi",Russian,Andrei Tarkovsky,Aleksandra Demidova,"Arkadiy Strugatskiy, Boris Strugatskiy, Arkadiy Strugatskiy, Boris Strugatskiy","Oct 20, 1982 original","Jun 19, 2001",$258.4K,2h 43m,,,,
No Country for Old Men (2007),74.0,93%,No Country for Old Men (2007),288,R (Strong Graphic Violence|Some Language),"Drama, Mystery & thriller, Crime",English,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen, Scott Rudin","Joel Coen, Ethan Coen","Nov 21, 2007 wide","Mar 11, 2008",$74.3M,2h 2m,Miramax Films,"Dolby Digital, DTS, SDDS",Scope (2.35:1),
Burning (Beoning) (2018),75.0,95%,Burning (Beoning) (2018),196,,"Drama, Mystery & thriller",Korean,Lee Chang-dong,"Lee Chang-dong, Ok Gwang-hui","Lee Chang-dong, Haruki Murakami","Oct 26, 2018 limited","Jan 29, 2019",$715.0K,2h 28m,Well Go USA,,Scope (2.35:1),
The Manchurian Candidate (1962),76.0,97%,The Manchurian Candidate (1962),60,PG-13,"Drama, Mystery & thriller",English,John Frankenheimer,"John Frankenheimer, George Axelrod",George Axelrod,"Oct 24, 1962 original","Jan 25, 2001",$1.9M,2h 6m,"MGM/UA Home Entertainment Inc., United Artists",,,
Ex Machina (2015),77.0,92%,Ex Machina (2015),283,R (Language|Graphic Nudity|Sexual References|Some Violence),"Drama, Mystery & thriller, Sci-fi",English,Alex Garland,"Andrew Macdonald, Allon Reich",Alex Garland,"Apr 24, 2015 wide","Jul 14, 2015",$25.4M,1h 47m,A24,Dolby Digital,,
Kiss Me Deadly (1955),78.0,98%,Kiss Me Deadly (1955),43,,"Drama, Crime",English,Robert Aldrich,Robert Aldrich,"Mickey Spillane, A. I. Bezzerides","May 18, 1955 original","Jun 19, 2001",$882,1h 45m,"Metro-Goldwyn-Mayer, United Artists, MGM/UA Home Entertainment Inc.",Mono,"35mm, 1.66:1",
Sicario (2015),79.0,92%,Sicario (2015),280,R (Language|Grisly Images|Strong Violence),"Drama, Mystery & thriller, Crime",English,Denis Villeneuve,"Basil Iwanyk, Edward L. McDonnell, Molly Smith, Thad Luckinbill, Trent Luckinbill",Taylor Sheridan,"Oct 2, 2015 wide","Jan 5, 2016",$46.9M,2h 1m,Lionsgate Films,Dolby Digital,,
Blow the Man Down (2020),80.0,98%,Blow the Man Down (2020),123,R (Language and Brief Drug Use|Some Language|Sexual Material),"Drama, Comedy",English,"Bridget Savage Cole, Danielle Krudy","Drew P. Houpt, Alex Scharfman, Lucas Joaquin","Bridget Savage Cole, Danielle Krudy",,"Mar 17, 2020",,1h 30m,,,,
Searching (2018),81.0,92%,Searching (2018),256,PG-13 (Some Drug References|Language|Some Sexual References|Thematic Content),Mystery & thriller,English,Aneesh Chaganty,"Timur Bekmambetov, Sev Ohanian, Adam Sidman, Natalie Qasabian","Aneesh Chaganty, Sev Ohanian","Aug 31, 2018 wide","Nov 13, 2018",$26.0M,1h 42m,"Stage 6, Screen Gems, Sony Pictures Entertainment",,Flat (1.85:1),
From Russia With Love (1964),82.0,97%,From Russia With Love (1964),61,PG,Action,English,Terence Young,"Albert R. Broccoli, Harry Saltzman","Ian Fleming, Johanna Harwood, Richard Maibaum","Apr 8, 1963 original","Apr 4, 2006",,1h 58m,"MGM Distributing Corporation, Criterion Collection, CBS/Fox, Warner Home Vídeo, United Artists",,,James Bond 007
Don't Look Now (1973),83.0,95%,Don't Look Now (1973),76,R,Mystery & thriller,English,Nicolas Roeg,Peter Katz,"Allan Scott, Chris Bryant","Dec 25, 1973 original","Feb 10, 2015",,1h 50m,Paramount Pictures,,,
Jurassic Park (1993),84.0,92%,Jurassic Park (1993),130,PG-13 (Intense Science Fiction Terror),"Mystery & thriller, Adventure, Sci-fi, Action",English,Steven Spielberg,"Kathleen Kennedy, Gerald R. Molen","Michael Crichton, Michael Crichton, David Koepp, Malia Scotch Marmo","Jun 11, 1993 wide","Oct 28, 2003",$401.8M,2h 6m,Universal Pictures,"Dolby Stereo, DTS, DTS-ES, Surround, Dolby Digital, Dolby SR",Flat (1.66:1),Jurassic Park
It (2017),85.0,86%,It (2017),387,R (Language|Bloody Images|Violence/Horror),"Mystery & thriller, Horror",English,Andy Muschietti,"Roy Lee, Dan Lin, Seth Grahame-Smith, David Katzenberg, Barbara Muschietti","Chase Palmer, Cary Joji Fukunaga, Gary Dauberman","Sep 8, 2017 wide","Jan 9, 2018",$327.5M,2h 15m,Warner Bros. Pictures,"Dolby Atmos, DTS, Dolby Digital, SDDS",Scope (2.35:1),
The Guilty (Den skyldige) (2018),86.0,98%,The Guilty (Den skyldige) (2018),120,R (Language),"Drama, Mystery & thriller, Crime",Danish,Gustav Möller,Lina Flint,"Gustav Möller, Emil Nygaard Albertsen","Oct 19, 2018 limited","Feb 5, 2019",$206.2K,1h 25m,Magnolia Pictures,,Scope (2.35:1),
10 Cloverfield Lane (2016),87.0,90%,10 Cloverfield Lane (2016),316,PG-13 (Frightening Sequences|Brief Language|Some Violence|Thematic Material|Threat),Mystery & thriller,English,Dan Trachtenberg,"J.J. Abrams, Lindsey Weber","Josh Campbell, Matthew Stuecken, Damien Chazelle","Mar 11, 2016 wide","Jun 14, 2016",$72.1M,1h 43m,Paramount Pictures,"Dolby Digital, Datasat, Dolby Atmos",Scope (2.35:1),
The Vast of Night (2020),88.0,92%,The Vast of Night (2020),245,PG-13 (Brief Strong Language),"Fantasy, Mystery & thriller",English,Andrew Patterson,"Adam Dietrich, Melissa Kirkendall, James Montague",James Montague,"May 15, 2020 limited","May 31, 2020",,1h 30m,Amazon Studios,,Scope (2.35:1),
Peeping Tom (1960),89.0,96%,Peeping Tom (1960),53,,"Mystery & thriller, Horror",English,Michael Powell,Michael Powell,Leo Marks,"May 15, 1962 wide","Nov 16, 1999",$84.0K,1h 49m,"Image Entertainment Inc., Astor Pictures Corporation, 20th Century Fox",Mono,,
Blood Simple (1984),90.0,94%,Blood Simple (1984),104,R,"Drama, Mystery & thriller, Crime",English,Joel Coen,Ethan Coen,"Joel Coen, Ethan Coen","Jul 7, 1984 wide","Nov 6, 2007",$1.7M,1h 37m,USA Films,Stereo,,
Bridge of Spies (2015),91.0,90%,Bridge of Spies (2015),313,PG-13 (Some Violence|Brief Strong Language),"Drama, Mystery & thriller, History",English,Steven Spielberg,"Steven Spielberg, Marc Platt, Kristie Macosko Krieger","Matt Charman, Ethan Coen, Joel Coen","Oct 16, 2015 wide","Feb 2, 2016",$72.3M,2h 21m,Walt Disney,Dolby Digital,,
The Fugitive (1993),92.0,96%,The Fugitive (1993),80,PG-13,"Drama, Mystery & thriller, Crime, Action",English,Andrew Davis,Arnold Kopelson,"Jeb Stuart, David Twohy","Aug 6, 1993 wide","Mar 25, 1997",$183.8M,2h 7m,Warner Bros. Pictures,Surround,,
