,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Inside Job (2010),35.0,98%,Inside Job (2010),148,PG-13 (Some Sex-Related Material|Some Drug Material),Documentary,English,Charles Ferguson,"Charles Ferguson, Audrey Marrs",Charles Ferguson,"Oct 8, 2010 limited","Mar 8, 2011",$4.3M,1h 48m,Sony Pictures Classics,,,
All In: The Fight for Democracy (2020),36.0,100%,All In: The Fight for Democracy (2020),66,PG-13,Documentary,English,"Lisa Cortes, Liz Garbus","Stacey Abrams, Dan Cogan, Lisa Cortes, Liz Garbus",Jack Youngelson,"Sep 9, 2020 limited","Sep 18, 2020",,1h 42m,Amazon Studios,,,
The Velvet Underground (2021),37.0,98%,The Velvet Underground (2021),126,R (Some Drug Material|Language|Sexual Content|Nudity),"Documentary, Music",English,Todd Haynes,"Christopher Clements, Julie Goldman, David Blackman, Carolyn Hepburn, Pamela Koffler, Christine Vachon",Todd Haynes,"Oct 15, 2021 limited","Oct 15, 2021",,1h 50m,Apple TV+,,,
The Square (Al Midan) (2013),38.0,100%,The Square (Al Midan) (2013),69,,Documentary,Arabic,Jehane Noujaim,Karim Amer,,"Oct 25, 2013 limited","Dec 8, 2015",,1h 44m,Noujaim Films,,,
Jiro Dreams of Sushi (2012),39.0,99%,Jiro Dreams of Sushi (2012),95,PG (Mild Thematic Elements|Brief Smoking),Documentary,Japanese,David Gelb,"Matt Weaver, Tom Pelligrini",,"Mar 9, 2012 limited","Jul 24, 2012",$2.6M,1h 21m,Magnolia Pictures,,,
Mucho Mucho Amor: The Legend of Walter Mercado (2020),40.0,100%,Mucho Mucho Amor: The Legend of Walter Mercado (2020),63,,Documentary,English,"Cristina Constantini, Kareem Tabsch","Cristina Costantini, Alex Fumero, Kareem Tabsch",,,"Jul 8, 2020",,1h 36m,,,,
The Missing Picture (2014),41.0,99%,The Missing Picture (2014),89,,Documentary,French (Canada),Rithy Panh,Catherine Dussart,Rithy Panh,"Mar 19, 2014 limited","Sep 9, 2014",$51.6K,1h 30m,Strand Releasing,,,
Seymour: An Introduction (2015),42.0,100%,Seymour: An Introduction (2015),68,PG (Some Mild Thematic Elements),Documentary,English,Ethan Hawke,"Greg Loser, Heather Smith, Ryan Hawke",,"Mar 13, 2015 limited","Nov 3, 2015",$580.0K,1h 21m,IFC Films,,,
Paris Is Burning (1991),43.0,98%,Paris Is Burning (1991),57,R,"Lgbtq+, Documentary",English,Jennie Livingston,"Jennie Livingston, Barry Swimar",,"Mar 13, 1990 original","Sep 6, 2005",$122.8K,1h 18m,,,,
Deliver Us from Evil (2006),44.0,100%,Deliver Us from Evil (2006),72,,"Drama, Documentary, Crime",English,Amy Berg,"Amy Berg, Hermas Lassalle, Frank Donner",Amy Berg,"Oct 13, 2006 limited","May 8, 2007",$196.6K,1h 43m,Lionsgate Films,,,
