,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
To Be or Not to Be (1942),87.0,96%,To Be or Not to Be (1942),47,,Comedy,English,Ernst Lubitsch,Ernst Lubitsch,"Melchior Lengyel, Ernst Lubitsch, Edwin Justis Mayer","Mar 6, 1942 original","Aug 27, 2013",,1h 39m,"United Artists, Warner Home Vídeo",,,
The Muppets (2011),88.0,95%,The Muppets (2011),231,PG (Some Mild Rude Humor),"Kids & family, Comedy",English,James Bobin,"David Hoberman, Todd Lieberman","Jason Segel, Nicholas Stoller","Nov 23, 2011 wide","Mar 20, 2012",$88.6M,1h 38m,Walt Disney,,,
Enough Said (2013),89.0,95%,Enough Said (2013),191,PG-13 (Sexual Content|Brief Language|Some Thematic Material),"Comedy, Romance",English,Nicole Holofcener,"Anthony Bregman, Stefanie Azpiazu",Nicole Holofcener,"Sep 18, 2013 limited","Jan 14, 2014",$17.5M,1h 33m,Fox Searchlight,"Datasat, SDDS, Dolby Stereo",,
Deadpool 2 (2018),90.0,84%,Deadpool 2 (2018),420,R (Language Throughout|Brief Drug Material|Sexual References|Strong Violence),"Fantasy, Adventure, Action, Comedy",English,David Leitch,"Ryan Reynolds, Simon Kinberg, Lauren Shuler Donner","Ryan Reynolds, Rhett Reese, Paul Wernick","May 18, 2018 wide","Aug 21, 2018",$324.3M,2h 0m,20th Century Fox,"Dolby Digital, Dolby Atmos",Scope (2.35:1),X-Men
The Edge of Seventeen (2016),91.0,94%,The Edge of Seventeen (2016),216,R (Sexual Content|Language|Some Drinking),"Drama, Comedy",English,Kelly Fremon,"James L. Brooks, Richard Sakai, Julie Ansell",Kelly Fremon,"Nov 18, 2016 wide","Feb 14, 2017",$14.4M,1h 45m,STX Entertainment,,,
Back to the Future (1985),92.0,96%,Back to the Future (1985),83,PG,"Fantasy, Adventure, Comedy, Sci-fi",English,Robert Zemeckis,"Bob Gale, Neil Canton","Robert Zemeckis, Bob Gale","Jul 3, 1985 original","Aug 17, 2010",$247.0K,1h 56m,Universal Pictures,Surround,,
Bull Durham (1988),93.0,97%,Bull Durham (1988),71,R,"Comedy, Romance",English,Ron Shelton,"Thom Mount, Mark Burg",Ron Shelton,"Jun 15, 1988 original","Mar 9, 2004",$49.9M,1h 48m,Orion Pictures,Surround,,
The Rules of the Game (La règle du jeu) (1939),94.0,96%,The Rules of the Game (La règle du jeu) (1939),51,,"Drama, Comedy",French (France),Jean Renoir,Claude Renoir,"Carl Koch, Jean Renoir","Jul 8, 1939 original","Jan 20, 2004",,1h 50m,"Cine Classics, Criterion Collection",,"35mm, Flat (1.37:1)",
The Apartment (1960),95.0,93%,The Apartment (1960),72,,"Drama, Comedy",English,Billy Wilder,Billy Wilder,"Billy Wilder, I.A.L. Diamond","Jun 15, 1960 original","Mar 4, 2008",,2h 5m,,,,
Silver Linings Playbook (2012),96.0,92%,Silver Linings Playbook (2012),262,R (Some Sexual Content/Nudity|Language),"Drama, Comedy, Romance",English,David O. Russell,"Donna Gigliotti, Bruce Cohen, Jonathan Gordon",David O. Russell,"Nov 21, 2012 wide","Apr 30, 2013",$132.1M,2h 2m,Weinstein Co.,"Datasat, Dolby Digital",,
Lost In Translation (2003),97.0,95%,Lost In Translation (2003),232,R (Some Sexual Content),"Drama, Comedy",English,Sofia Coppola,"Sofia Coppola, Ross Katz",Sofia Coppola,"Sep 19, 2003 wide","Feb 3, 2004",$44.6M,1h 42m,Focus Features,Surround,,
Broadcast News (1987),98.0,98%,Broadcast News (1987),53,R,"Comedy, Romance",English,James L. Brooks,James L. Brooks,James L. Brooks,"Dec 16, 1987 original","Oct 5, 1999",$49.2M,2h 12m,20th Century Fox,Surround,,
The Women (1939),99.0,94%,The Women (1939),63,,Comedy,English,George Cukor,Hunt Stromberg,"Anita Loos, Jane Murfin","Sep 1, 1939 original","Jun 14, 2005",,2h 12m,"Metro-Goldwyn-Mayer, Loew's Inc.",,,
Tangerine (2015),100.0,96%,Tangerine (2015),161,R (Drug Use|Disturbing Sexual Content|Graphic Nudity|Language Throughout|Strong Sexual Content),"Drama, Comedy",English,Sean Baker,"Sean Baker, Karrie Cox, Marcus Cox, Darren Dean, Shih-Ching Tsou",Sean Baker,"Jul 10, 2015 limited","Nov 10, 2015",$701.8K,1h 27m,Magnolia Pictures,,,
