,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Roman Holiday (1953),47.0,97%,Roman Holiday (1953),60,,"Comedy, Romance",English,William Wyler,William Wyler,"Dalton Trumbo, Ian McLellan Hunter, John Dighton","Aug 27, 1953 original","Nov 26, 2002",,1h 59m,Paramount Pictures,Mono,,
Spy (2015),48.0,95%,Spy (2015),259,R (Language Throughout|Brief Graphic Nudity|Some Sexual Content|Violence),"Comedy, Action",English,Paul Feig,"Peter Chernin, Jenno Topping, Paul Feig, Jessie Henderson",Paul Feig,"Jun 5, 2015 wide","Sep 29, 2015",,1h 55m,20th Century Fox,Dolby Atmos,,
Hunt for the Wilderpeople (2016),49.0,97%,Hunt for the Wilderpeople (2016),206,PG-13 (Thematic Elements|Some Language|Violent Content),"Adventure, Comedy",English (Australia),Taika Waititi,"Carthew Neal, Leanne Saunders, Taika Waititi, Matt Noonan",Taika Waititi,"Jun 24, 2016 limited","Sep 27, 2016",$5.2M,1h 41m,The Orchard,,,
The Grand Budapest Hotel (2014),50.0,92%,The Grand Budapest Hotel (2014),311,R (Some Sexual Content|Language|Violence),"Drama, Comedy",English,Wes Anderson,"Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson",Wes Anderson,"Mar 7, 2014 limited","Jun 17, 2014",$59.1M,1h 39m,Fox Searchlight,"Datasat, SDDS, Dolby Digital",,
Bringing Up Baby (1938),51.0,94%,Bringing Up Baby (1938),51,,Comedy,English,Howard Hawks,Howard Hawks,"Hagar Wilde, Dudley Nichols, Hagar Wilde","Feb 18, 1938 wide","Mar 1, 2005",,1h 42m,RKO Radio Pictures,Mono,,
Ratatouille (2007),52.0,96%,Ratatouille (2007),251,G,"Kids & family, Comedy, Animation",English,Brad Bird,Brad Lewis,Brad Bird,"Jun 29, 2007 wide","Nov 6, 2007",$206.4M,1h 51m,Buena Vista,"Dolby SRD, DTS, SDDS",Scope (2.35:1),Pixar
The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),53.0,98%,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),53,PG,Comedy,French (Canada),Luis Buñuel,Serge Silberman,"Luis Buñuel, Jean-Claude Carrière","Sep 15, 1972 original","Oct 28, 2008",$198.8K,1h 40m,"Applause Video, Media Home Entertainment, Rialto Pictures, 20th Century Fox, Criterion Collection",Mono,,
The Incredibles (2004),54.0,97%,The Incredibles (2004),249,PG (Action/Violence),"Kids & family, Adventure, Comedy, Animation",English,Brad Bird,"John Lasseter, John Walker",Brad Bird,"Nov 5, 2004 wide","Mar 15, 2005",$261.4M,1h 55m,Walt Disney Pictures,"Surround, Dolby SRD, DTS, SDDS",Scope (2.35:1),Pixar
Annie Hall (1977),55.0,96%,Annie Hall (1977),84,PG,"Comedy, Romance",English,Woody Allen,"Charles H. Joffe, Jack Rollins","Woody Allen, Marshall Brickman","Jan 1, 1977 wide","Jul 5, 2000",,1h 33m,United Artists,Mono,Flat (1.85:1),
Love & Friendship (2016),56.0,96%,Love & Friendship (2016),214,PG (Some Thematic Elements),Comedy,English,Whit Stillman,"Katie Holly, Lauranne Bourrachot, Whit Stillman",Whit Stillman,"May 27, 2016 wide","Aug 30, 2016",$14.0M,1h 33m,Roadside Attractions,,,
Logan Lucky (2017),57.0,92%,Logan Lucky (2017),285,PG-13 (Some Crude Comments|Language),"Drama, Comedy, Crime",English,Steven Soderbergh,"Gregory Jacobs, Mark Johnson, Channing Tatum, Reid Carolin",Jules Asner,"Aug 18, 2017 wide","Nov 28, 2017",$27.8M,1h 59m,"Bleecker Street Media, Fingerprint Releasing",Dolby Atmos,,
Gentlemen Prefer Blondes (1953),58.0,98%,Gentlemen Prefer Blondes (1953),45,,"Musical, Comedy",English,Howard Hawks,Sol C. Siegel,"Joseph Fields, Anita Loos, Charles Lederer","Jul 18, 1953 wide","May 30, 2006",,1h 31m,20th Century Fox,Mono,,
Tampopo (1985),59.0,100%,Tampopo (1985),55,,Comedy,Japanese,Juzo Itami,"Seigo Hosogoe, Juzo Itami, Yasushi Tamaoki",Juzo Itami,"Sep 1, 1986 wide","Apr 25, 2017",$224.1K,1h 54m,New Yorker Films,Dolby,Flat (1.85:1),
Sideways (2004),60.0,97%,Sideways (2004),233,R (Nudity|Language|Some Strong Sexual Content),"Drama, Comedy",English,Alexander Payne,"Michael London, George Parra","Rex Pickett, Alexander Payne","Oct 22, 2004 original","Apr 5, 2005",$71.5M,2h 6m,Fox,"Surround, Dolby SRD",Flat (1.37:1),
Groundhog Day (1993),61.0,97%,Groundhog Day (1993),86,PG (Thematic Elements),"Comedy, Romance",English,Harold Ramis,"Trevor Albert, Harold Ramis","Danny Rubin, Danny Rubin, Harold Ramis","Feb 12, 1993 wide","Jan 17, 2006",$162.6K,1h 36m,Columbia Pictures,"Dolby, Surround",Flat (1.85:1),
The Nice Guys (2016),62.0,91%,The Nice Guys (2016),320,R (Language|Brief Drug Use|Nudity|Sexuality|Violence),"Mystery & thriller, Comedy, Action",English,Shane Black,Joel Silver,"Shane Black, Anthony Bagarozzi","May 20, 2016 wide","Aug 23, 2016",$36.2M,1h 56m,Warner Bros. Pictures,,,
City Lights (1931),63.0,96%,City Lights (1931),55,G,"Drama, Comedy, Romance",,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,"Jan 30, 1931 original","Feb 23, 2010",$18.2K,1h 27m,United Artists,,35mm,
The Suicide Squad (2021),64.0,90%,The Suicide Squad (2021),361,R (Drug Use|Brief Graphic Nudity|Language Throughout|Some Sexual References|Strong Violence and Gore),"Adventure, Comedy, Action",English,James Gunn,"Peter Safran, Charles Roven",James Gunn,"Aug 6, 2021 wide","Aug 6, 2021",$55.8M,2h 12m,Warner Bros. Pictures,"Dolby Digital, Dolby Atmos",,DC Extended Universe
Airplane! (1980),65.0,97%,Airplane! (1980),71,PG,Comedy,English,"Jim Abrahams, David Zucker, Jerry Zucker","Jon Davison, Howard W. Koch","Jim Abrahams, David Zucker, Jerry Zucker","Jan 1, 1980 wide","Dec 13, 2005",,1h 28m,Paramount Pictures,Mono,Flat (1.85:1),
The Lego Batman Movie (2017),66.0,90%,The Lego Batman Movie (2017),313,PG (Rude Humor and Some Action),"Animation, Action, Kids & family, Adventure, Comedy",English,Chris McKay,"Dan Lin, Phil Lord, Chris Miller, Roy Lee","Seth Grahame-Smith, Chris McKenna, Erik Sommers, Jared Stern, John Whittington","Feb 10, 2017 wide","Jun 13, 2017",$175.7M,1h 46m,Warner Bros. Pictures,"Dolby Atmos, Dolby Digital, SDDS, Datasat",Scope (2.35:1),Batman
Guardians of the Galaxy Vol. 2 (2017),67.0,85%,Guardians of the Galaxy Vol. 2 (2017),423,PG-13 (Language|Brief Suggestive Content|Sequences of Sci-Fi Action|Violence),"Sci-fi, Fantasy, Action, Adventure, Comedy",English,James Gunn,Kevin Feige,James Gunn,"May 5, 2017 wide","Aug 22, 2017",$389.8M,2h 15m,Walt Disney,"Dolby Digital, Dolby Atmos",Scope (2.35:1),Marvel Cinematic Universe
