,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),56.0,98%,The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),44,G,"Musical, Romance",French (France),"Jacques Demy, Agnès Varda","Perrine Bauduin, Gilbert de Goldschmidt","Jacques Demy, Julian More","Mar 8, 1967 original","Jul 22, 2014",$88.5K,2h 5m,"Miramax Films, Miramax Zoë, Warner Bros., Miramax Home Entertainment [us]",Stereo,"35mm, Scope (2.35:1)",
"Crouching Tiger, Hidden Dragon (2001)",57.0,97%,"Crouching Tiger, Hidden Dragon (2001)",159,PG-13 (Some Sexuality|Martial Arts Violence),"Sports & fitness, Adventure, Action",Chinese,Ang Lee,"Li-Kong Hsu, William Kong, Ang Lee","Wang Du-lu, Hui-Ling Wang, James Schamus, Kuo Jung Tsai","Dec 22, 2000 wide","Jun 5, 2001",$128.1M,2h 0m,"Columbia Tristar, Sony Pictures Classics","Dolby SR, Dolby Digital, Surround",Scope (2.35:1),
Bull Durham (1988),58.0,97%,Bull Durham (1988),71,R,"Comedy, Romance",English,Ron Shelton,"Thom Mount, Mark Burg",Ron Shelton,"Jun 15, 1988 original","Mar 9, 2004",$49.9M,1h 48m,Orion Pictures,Surround,,
Wings of Desire (1987),59.0,98%,Wings of Desire (1987),56,PG-13,Fantasy,German,Wim Wenders,"Anatole Dauman, Wim Wenders","Wim Wenders, Peter Handke","Jan 1, 1987 wide","Nov 3, 2009",$120.8K,2h 8m,Orion Pictures,"Stereo, Dolby Stereo",Flat (1.66:1),
The Apartment (1960),60.0,93%,The Apartment (1960),72,,"Drama, Comedy",English,Billy Wilder,Billy Wilder,"Billy Wilder, I.A.L. Diamond","Jun 15, 1960 original","Mar 4, 2008",,2h 5m,,,,
Border (Gräns) (2018),61.0,97%,Border (Gräns) (2018),130,R (Graphic Nudity|A Bloody Violent Image|Language|Some Sexual Content),"Fantasy, Mystery & thriller, Romance, Horror",Swedish,Ali Abbasi,"Nina Bisgaard, Peter Gustafsson, Petra Jönsson","Ali Abbasi, Isabella Eklöf, John Ajvide Lindqvist","Oct 26, 2018 limited","Feb 22, 2019",$771.9K,1h 48m,Neon,Dolby Digital,Scope (2.35:1),
Lost In Translation (2003),62.0,95%,Lost In Translation (2003),232,R (Some Sexual Content),"Drama, Comedy",English,Sofia Coppola,"Sofia Coppola, Ross Katz",Sofia Coppola,"Sep 19, 2003 wide","Feb 3, 2004",$44.6M,1h 42m,Focus Features,Surround,,
Titanic (1997),63.0,89%,Titanic (1997),193,PG-13 (Disaster Related Peril|Brief Language|Nudity|Sensuality|Violence),"Drama, History, Romance",English,James Cameron,"James Cameron, Jon Landau",James Cameron,"Dec 19, 1997 wide","Jan 8, 2002",$656.5K,3h 15m,"Paramount Pictures, 20th Century Fox","Dolby Stereo, Dolby SR, Surround, SDDS, DTS, Dolby Digital","Scope (2.35:1), 70mm",
Masculin Feminin (1966),64.0,96%,Masculin Feminin (1966),45,,Romance,French (Canada),Jean-Luc Godard,Anatole Dauman,"Guy de Maupassant, Jean-Luc Godard","Mar 22, 1966 original","Sep 20, 2005",$199.9K,1h 43m,"Rialto Pictures, Royal Films International",Mono,"35mm, Flat (1.37:1)",
The Lunchbox (2014),65.0,97%,The Lunchbox (2014),118,PG (Thematic Material|Smoking),"Drama, Romance",Hindi,Ritesh Batra,"Arun Rangachari, Anurag Kashyap, Guneet Monga",Ritesh Batra,"Feb 28, 2014 limited","Jul 8, 2014",$4.2M,1h 45m,Sony Pictures Classics,,,
