,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Forsaken (2016),74.0,42%,Forsaken (2016),45,R (Violence and Some Language),"Drama, Western",English,Jon Cassar,"Kevin DeWalt, Josh Miller, Bill Marks, Gary Howsam, Isabella Marchese Ragona",Brad Mirman,"Feb 19, 2016 limited","Mar 29, 2016",,1h 30m,Momentum Pictures,,,
A Million Ways to Die in the West (2014),75.0,33%,A Million Ways to Die in the West (2014),212,R (Language Throughout|Drug Material|Some Violence|Strong Crude & Sexual Content),"Comedy, Western",English,Seth MacFarlane,"Scott Stuber, Seth MacFarlane, Jason Clark","Seth MacFarlane, Alec Sulkin, Wellesley Wild","May 30, 2014 wide","Oct 7, 2014",$42.6M,1h 55m,Universal Pictures,"Datasat, Dolby Digital",,
The Lone Ranger (2013),76.0,30%,The Lone Ranger (2013),247,PG-13 (Some Suggestive Material|Seq of Intense Action Violence),"Adventure, Action, Western",English,Gore Verbinski,"Jerry Bruckheimer, Gore Verbinski","Justin Haythe, Ted Elliott, Terry Rossio","Jul 3, 2013 wide","Dec 17, 2013",$89.3M,2h 29m,Walt Disney,,,
Wyatt Earp (1994),77.0,32%,Wyatt Earp (1994),82,PG-13,Biography,English,Lawrence Kasdan,"Jim Wilson, Kevin Costner, Lawrence Kasdan",,"Jun 24, 1994 wide","Apr 30, 2004",$24.6M,3h 11m,Warner Bros. Pictures,Surround,,
The Alamo (2004),78.0,29%,The Alamo (2004),159,PG-13 (Sustained Battle Sequences),"Drama, History, War",English,John Lee Hancock,"Brian Grazer, Ron Howard, Mark Johnson","Leslie Bohem, Stephen Gaghan, John Lee Hancock","Mar 27, 2004 original","May 3, 2005",$22.4M,2h 17m,Buena Vista Pictures,"Surround, Dolby SRD, DTS, SDDS",Scope (2.35:1),
The Warrior's Way (2010),79.0,31%,The Warrior's Way (2010),42,R (Strong Bloody Violence),"Fantasy, Sports & fitness, Action, Western",English,Sngmoo Lee,"Barrie M. Osborne, Jooick Lee, Michael Peyser",Sngmoo Lee,"Dec 3, 2010 wide","Jun 28, 2011",$5.7M,1h 40m,Relativity Media,"SDDS, Dolby Digital, DTS",,
The Dark Tower (2017),80.0,16%,The Dark Tower (2017),277,PG-13 (Sequences of Gun Violence|Action|Thematic Material),"Fantasy, Adventure, Action",English,Nikolaj Arcel,"Akiva Goldsman, Brian Grazer, Erica Huggins, Stephen King, Ron Howard","Akiva Goldsman, Jeff Pinkner, Anders Thomas Jensen, Nikolaj Arcel","Aug 4, 2017 wide","Oct 31, 2017",$50.7M,1h 35m,Sony Pictures Entertainment,Dolby Atmos,Scope (2.35:1),
Wild Wild West (1999),81.0,17%,Wild Wild West (1999),132,PG-13 (Innuendo|Action/Violence|Sex References),"Comedy, Action, Western",English,Barry Sonnenfeld,,"Jim Thomas, John Thomas, S.S. Wilson, Brent Maddock, Jeffrey Price, Peter S. Seaman","Jun 30, 1999 wide","Nov 30, 1999",$113.8M,1h 46m,Warner Bros. Pictures,"Dolby SR, DTS, Dolby Stereo, SDDS, DTS-ES, Dolby A, Surround, Dolby Digital",Flat (1.85:1),
Priest (2011),82.0,15%,Priest (2011),101,PG-13 (Disturbing Images|Brief Strong Language|Intense Sequences of Action|Intense Sequences of Violence),"Fantasy, Action, Horror",English,Scott Stewart,"Michael De Luca, Joshua Donen, Mitchell Peck",Cory Goodman,"May 13, 2011 wide","Aug 16, 2011",$29.1M,1h 27m,Sony Pictures Entertainment,"SDDS, Dolby Digital",,
September Dawn (2007),83.0,16%,September Dawn (2007),55,R (Violence),"Drama, History, Western",English,Christopher Cain,"Scott Duthie, Christopher Cain, Kevin Matossian","Christopher Cain, Carole Whang Schutter","Jun 22, 2007 wide","Jan 1, 2008",$1.1M,1h 50m,,,,
American Outlaws (2001),84.0,14%,American Outlaws (2001),103,PG-13 (Western Violence),"Action, Western",English,Les Mayfield,"James G. Robinson, Bill Gerber","Roderick Taylor, John Rogers","Aug 17, 2001 wide","Dec 4, 2001",$13.3M,1h 33m,Warner Bros. Pictures,"Dolby Stereo, Dolby A, SDDS, DTS, Surround, Dolby Digital, Dolby SR",Flat (1.85:1),
Jonah Hex (2010),85.0,12%,Jonah Hex (2010),153,PG-13 (Intense Sequences of Action|Disturbing Images|Intense Sequences of Violence|Sexual Content),"Western, Fantasy, Mystery & thriller, Action, Adventure",English,Jimmy Hayward,"Akiva Goldsman, Andrew Lazar","Mark Neveldine, Brian Taylor","Jun 18, 2010 wide","Oct 12, 2010",$10.5M,1h 21m,Warner Bros.,,,
Texas Rangers (2001),86.0,2%,Texas Rangers (2001),51,PG-13 (Western Violence),"Adventure, Western",English,Steve Miner,"Alan Greisman, Frank Price","Scott Busby, Martin Copeland","Nov 30, 2001 wide","Apr 16, 2002",$623.4K,1h 30m,,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Scope (2.35:1),
