,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Eyes Without a Face (1962),39.0,98%,Eyes Without a Face (1962),55,,"Drama, Horror",French (Canada),Georges Franju,Jules Borkon,"Pierre Boileau, Pierre Gascar, Thomas Narcejac, Jean Redon, Claude Sautet","Oct 31, 1962 original","Oct 19, 2004",$52.7K,1h 24m,"Rialto Pictures, United Artists, Lopert Pictures Corp.",,,
The Tale of the Princess Kaguya (2014),40.0,100%,The Tale of the Princess Kaguya (2014),96,PG (Thematic Elements|Some Violent Action|Partial Nudity),"Fantasy, Anime",Japanese,Isao Takahata,"Geoffrey Wexler, Seiichirô Ujiie","Isao Takahata, Riko Sakaguchi","Oct 17, 2014 limited","Feb 17, 2015",$681.1K,2h 17m,GKIDS,,,
The Leopard (1963),41.0,98%,The Leopard (1963),48,PG,"Drama, History",Italian,Luchino Visconti,Goffredo Lombardo,"Suso Cecchi d'Amico, Pasquale Festa Campanile, Enrico Medioli, Massimo Franciosa, Luchino Visconti","Jul 15, 1963 original","Jun 8, 2004",,2h 45m,20th Century Fox,Mono,35mm,
Le Cercle Rouge (1970),42.0,95%,Le Cercle Rouge (1970),65,,"Drama, Crime",French (France),Jean-Pierre Melville,,Jean-Pierre Melville,"Jan 2, 1970 wide","Oct 28, 2003",$58.1K,2h 20m,Rialto Pictures,Mono,,
Sing Street (2016),43.0,95%,Sing Street (2016),214,PG-13 (Drug Material|A Suggestive Image|Thematic Elements|Some Bullying Behavior|Strong Language|Teen Smoking),"Drama, Comedy, Music, Romance",English,John Carney,"Anthony Bregman, Martina Niland, John Carney",John Carney,"May 13, 2016 wide","Jul 26, 2016",$3.2M,1h 46m,Weinstein Co.,Dolby Digital,,
Three Colors: Red (Trois couleurs: Rouge) (1994),44.0,100%,Three Colors: Red (Trois couleurs: Rouge) (1994),54,R (Brief Strong Sex Scene),Drama,French (Canada),Krzysztof Kieslowski,,"Krzysztof Kieslowski, Krzysztof Piesiewicz",,"Mar 4, 2003",$858.4K,1h 39m,,Surround,,
Stalker (1979),45.0,100%,Stalker (1979),41,TV14,"Adventure, Sci-fi",Russian,Andrei Tarkovsky,Aleksandra Demidova,"Arkadiy Strugatskiy, Boris Strugatskiy, Arkadiy Strugatskiy, Boris Strugatskiy","Oct 20, 1982 original","Jun 19, 2001",$258.4K,2h 43m,,,,
Burning (Beoning) (2018),46.0,95%,Burning (Beoning) (2018),196,,"Drama, Mystery & thriller",Korean,Lee Chang-dong,"Lee Chang-dong, Ok Gwang-hui","Lee Chang-dong, Haruki Murakami","Oct 26, 2018 limited","Jan 29, 2019",$715.0K,2h 28m,Well Go USA,,Scope (2.35:1),
The Blue Angel (Der Blaue Engel) (1930),47.0,96%,The Blue Angel (Der Blaue Engel) (1930),45,,Drama,German,Josef von Sternberg,Erich Pommer,,"Jan 3, 1930 wide","Mar 6, 2007",,1h 34m,"Paramount Pictures, Image Entertainment Inc.",Mono,Academy (1.33:1),
Children of Paradise (Les Enfants du Paradis) (1946),48.0,98%,Children of Paradise (Les Enfants du Paradis) (1946),40,,Romance,French (France),Marcel Carné,Raymond Borderie,Jacques Prévert,"Nov 15, 1945 original","Jan 22, 2002",$31.9K,3h 15m,Criterion Collection,,,
