,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
The Texas Chainsaw Massacre (1974),86.0,89%,The Texas Chainsaw Massacre (1974),63,R,"Mystery & thriller, Horror",English,Tobe Hooper,Tobe Hooper,,"Oct 1, 1974 wide","Sep 26, 2006",,1h 23m,"Pioneer Entertainment, New Line Cinema",,,
The Old Ways (2021),87.0,95%,The Old Ways (2021),42,,,,,,,,,,,,,,
Halloween (2018),88.0,79%,Halloween (2018),385,R (Brief Drug Use|Bloody Images|Horror Violence|Language|Nudity),"Horror, Mystery & thriller, Other",English,David Gordon Green,"Malek Akkad, Jason Blum, Bill Block","Jeff Fradley, Danny McBride, David Gordon Green","Oct 19, 2018 wide","Dec 28, 2018",$159.5M,1h 46m,Universal Pictures,"DTS, Dolby Digital, Dolby Atmos",Scope (2.35:1),Halloween
The Witches (1990),89.0,93%,The Witches (1990),43,PG,"Kids & family, Adventure, Fantasy",English,Nicolas Roeg,Mark Shivas,"Allan Scott, Roald Dahl","Feb 16, 1990 wide","Jun 22, 1999",$8.7M,1h 31m,"Warner Bros. Pictures, Warner Home Vídeo","Dolby, Surround",,
Arachnophobia (1990),90.0,93%,Arachnophobia (1990),43,PG-13,"Mystery & thriller, Comedy",English,Frank Marshall,"Kathleen Kennedy, Richard Vane","Don Jakoby, Al Williams, Wesley Strick",,"May 21, 2002",$53.2M,1h 49m,,Surround,,
Horror of Dracula (1958),91.0,90%,Horror of Dracula (1958),41,,Horror,English,Terence Fisher,Anthony Hinds,Jimmy Sangster,"May 8, 1958 original","Sep 6, 2005",,1h 22m,,,,
Frankenweenie (2012),92.0,87%,Frankenweenie (2012),222,PG (Scary Images|Action|Thematic Elements),"Kids & family, Comedy, Animation",English,Tim Burton,"Tim Burton, Allison Abbate",John August,"Oct 5, 2012 wide","Jan 8, 2013",,1h 27m,Walt Disney,"Datasat, Dolby Digital",,
Dr. Jekyll and Mr. Hyde (1931),93.0,90%,Dr. Jekyll and Mr. Hyde (1931),41,,Horror,English,Rouben Mamoulian,Rouben Mamoulian,,"Dec 31, 1931 original","Oct 18, 2010",,1h 37m,Paramount Pictures,,,
Let Me In (2010),94.0,88%,Let Me In (2010),237,R (Language|A Brief Sexual Situation|Strong Bloody Horror Violence),Horror,English,Matt Reeves,"Donna Gigliotti, Alexander Yves Brunner, Simon Oakes, Tobin Armbrust, Guy East, John Nordling, Carl Molinder",Matt Reeves,"Oct 1, 2010 wide","Feb 1, 2011",$12.1M,1h 55m,Overture Films,"SDDS, Dolby Digital, DTS",,
The Dark and the Wicked (2020),95.0,91%,The Dark and the Wicked (2020),107,,"Mystery & thriller, Horror",English,Bryan Bertino,"Bryan Bertino, Adrienne Biddle, Sonny Mallhi, Kevin Matusow",Bryan Bertino,"Nov 6, 2020 limited","Nov 6, 2020",$157.0K,1h 34m,Shudder,,,
Frenzy (1972),96.0,90%,Frenzy (1972),42,R,Mystery & thriller,English,Alfred Hitchcock,Alfred Hitchcock,"Arthur La Bern, Anthony Shaffer","Jun 21, 1972 original","Oct 4, 2005",,1h 56m,Universal Pictures,Mono,35mm,
Kaidan (Kwaidan) (Ghost Stories) (1964),97.0,91%,Kaidan (Kwaidan) (Ghost Stories) (1964),44,,"Fantasy, Horror",Japanese,Masaki Kobayashi,Shigeru Wakatsuki,Yoko Mizuki,"Dec 29, 1964 original","Oct 10, 2000",,2h 44m,,,,
Misery (1990),98.0,90%,Misery (1990),71,R,"Mystery & thriller, Horror",English,Rob Reiner,"Rob Reiner, Andrew Scheinman",William Goldman,"Nov 30, 1990 wide","Sep 5, 2006",$54.7M,1h 47m,"MGM/UA Home Entertainment Inc., Metro-Goldwyn-Mayer Distributing Corp., Columbia Pictures, Image Entertainment Inc.","Dolby, Surround",,
Color Out of Space (2020),99.0,86%,Color Out of Space (2020),208,,"Sci-fi, Horror",English,Richard Stanley,"Daniel Noah, Lisa Whalen, Elijah Wood",Scarlett Amaris,"Jan 24, 2020 limited","Feb 21, 2020",$677.3K,1h 51m,RLJE Films,,Scope (2.35:1),
Island of Lost Souls (1933),100.0,88%,Island of Lost Souls (1933),40,,Horror,English,Erle C. Kenton,,"Waldemar Young, Philip Wylie","Jan 12, 1933 original","Feb 28, 2006",,1h 10m,,,,
