,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Possessor: Uncut (2020),25.0,94%,Possessor: Uncut (2020),219,R (Strong Sexual Content|Strong Bloody Violence|Brief Drug Use|Language|Some Graphic Nudity),"Mystery & thriller, Sci-fi, Horror",English,Brandon Cronenberg,"Fraser Ash, Niv Fichman, Kevin Krikst, Andrew Starke",Brandon Cronenberg,,"Dec 8, 2020",$745.8K,1h 42m,,,,
Repulsion (1965),26.0,95%,Repulsion (1965),65,,Horror,English,Roman Polanski,Gene Gutowski,"Roman Polanski, Gérard Brach, David Stone",,"Feb 8, 2005",,1h 45m,,Mono,35mm,
The Witch (2016),27.0,90%,The Witch (2016),332,R (Graphic Nudity|Disturbing Violent Content),"Drama, Mystery & thriller, History, Horror",English,Robert Eggers,"Jay Van Hoy, Lars Knudsen, Jodi Redmond, Daniel Bekerman, Rodrigo Teixeira",Robert Eggers,"Feb 19, 2016 wide","May 17, 2016",$25.1M,1h 32m,A24,,,
The Cabin in the Woods (2012),28.0,92%,The Cabin in the Woods (2012),289,R (Gore|Drug Use|Strong Horror Violence|Language|Some Sexuality/Nudity|Strong Bloody Violence),"Comedy, Horror",English,Drew Goddard,Joss Whedon,"Joss Whedon, Drew Goddard","Apr 13, 2012 wide","Sep 18, 2012",$42.0M,1h 35m,Lionsgate Films,"Datasat, SDDS, Dolby Digital",,
The Invisible Man (1933),29.0,94%,The Invisible Man (1933),51,,Sci-fi,English,James Whale,Carl Laemmle Jr.,"R.C. Sherriff, Preston Sturges, H.G. Wells, Philip Wylie","Nov 13, 1933 original","Aug 29, 2000",,1h 11m,"Realart Pictures Inc., Universal Pictures, Screen Gems, Universal Home Entertainment, MCA/Universal Pictures [us]",Mono,Flat (1.37:1),
Don't Look Now (1973),30.0,95%,Don't Look Now (1973),76,R,Mystery & thriller,English,Nicolas Roeg,Peter Katz,"Allan Scott, Chris Bryant","Dec 25, 1973 original","Feb 10, 2015",,1h 50m,Paramount Pictures,,,
It (2017),31.0,86%,It (2017),387,R (Language|Bloody Images|Violence/Horror),"Mystery & thriller, Horror",English,Andy Muschietti,"Roy Lee, Dan Lin, Seth Grahame-Smith, David Katzenberg, Barbara Muschietti","Chase Palmer, Cary Joji Fukunaga, Gary Dauberman","Sep 8, 2017 wide","Jan 9, 2018",$327.5M,2h 15m,Warner Bros. Pictures,"Dolby Atmos, DTS, Dolby Digital, SDDS",Scope (2.35:1),
Relic (2020),32.0,92%,Relic (2020),232,R (Some Horror Violence|Language|Disturbing Images),"Drama, Horror",English,Natalie Erika James,Jake Gyllenhaal,"Natalie Erika James, Christian White","Jul 10, 2020 limited","Jun 26, 2020",$1.0M,1h 29m,IFC Midnight,,Scope (2.35:1),
The Friends of Eddie Coyle (1973),33.0,98%,The Friends of Eddie Coyle (1973),40,R,"Drama, Crime",English,Peter Yates,Paul Monash,,,"May 19, 2009",,1h 40m,,,,
Young Frankenstein (1974),34.0,94%,Young Frankenstein (1974),69,PG,Comedy,English,Mel Brooks,Michael Gruskoff,"Gene Wilder, Mel Brooks","Dec 15, 1974 original","Aug 14, 2001",,1h 45m,"CBS/Fox, Key Video, 20th Century Fox",Stereo,"Flat (1.37:1), 35mm, Flat (1.85:1)",
The Birds (1963),35.0,95%,The Birds (1963),57,PG-13,Mystery & thriller,English,Alfred Hitchcock,Alfred Hitchcock,"Evan Hunter, Daphne Du Maurier","Mar 28, 1963 wide","Sep 2, 2003",,1h 59m,Universal Pictures,Mono,Flat (1.85:1),
Ready or Not (2019),36.0,88%,Ready or Not (2019),313,R (Language Throughout|Bloody Images|Some Drug Use|Violence),"Mystery & thriller, Comedy, Horror",English,"Matt Bettinelli-Olpin, Tyler Gillett","Tripp Vinson, James Vanderbilt, William Sherak, Bradley J. Fischer","Guy Busick, Ryan Murphy","Aug 21, 2019 wide","Aug 27, 2019",$28.7M,1h 35m,Fox Searchlight,Dolby Digital,Scope (2.35:1),
The Vanishing (Spoorloos) (1988),37.0,98%,The Vanishing (Spoorloos) (1988),49,,Mystery & thriller,Dutch,George Sluizer,"Anne Gordon, George Sluizer",,,"Apr 1, 2014",,1h 46m,,,,
Drag Me to Hell (2009),38.0,92%,Drag Me to Hell (2009),270,PG-13 (Language|Disturbing Images|Sequences of Horror Violence|Terror),"Mystery & thriller, Horror",English,Sam Raimi,"Rob Tapert, Grant Curtis","Sam Raimi, Ivan Raimi","May 29, 2009 wide","Sep 7, 2010",$42.1M,1h 39m,Universal Pictures,,,
A Girl Walks Home Alone at Night (2014),39.0,96%,A Girl Walks Home Alone at Night (2014),135,,"Drama, Mystery & thriller, Horror",Persian,Ana Lily Amirpour,"Ana Lily Amirpour, Justin Begnaud, Sheri Davani, Sina Sayyah",Ana Lily Amirpour,"Nov 21, 2014 limited","Apr 21, 2015",$299.3K,1h 45m,Kino Lorber,,,
Godzilla (Gojira) (1954),40.0,93%,Godzilla (Gojira) (1954),74,,Sci-fi,Japanese,Ishirô Honda,Tomoyuki Tanaka,"Ishirô Honda, Shigeru Kayama","Nov 3, 1954 original","Apr 20, 2014",,1h 38m,Rialto Pictures,,,Godzilla
House of Wax (1953),41.0,95%,House of Wax (1953),44,PG,Horror,English,Andre de Toth,Bryan Foy,"Charles Belden, Crane Wilbur","Apr 10, 1953 original","Aug 5, 2003",,1h 28m,"Warner Home Vídeo, Warner Bros.","Stereo, Mono",,
Dracula (1931),42.0,94%,Dracula (1931),49,,Horror,English,Tod Browning,"Tod Browning, Carl Laemmle Jr.","John L. Balderston, Garrett Fort, Dudley Murphy, Bram Stoker","Feb 12, 1931 original","Dec 21, 1999",,1h 15m,"Realart Pictures Inc., Universal Pictures, Screen Gems, Universal Home Entertainment, MCA/Universal Pictures [us]",Mono,,
The Fly (1958),43.0,95%,The Fly (1958),41,,"Sci-fi, Horror",English,Kurt Neumann,"Kurt Neumann, Robert L. Lippert","George Langelaan, James Clavell","Jul 16, 1958 original","Jun 10, 2008",,1h 34m,"20th Century Fox, 20th Century Fox Home Entertainment, Fox",,,
Midsommar (2019),44.0,83%,Midsommar (2019),398,R (Drug Use|Disturbing Ritual Violence|Strong Sexual Content|Graphic Nudity|Grisly Images|Language),"Mystery & thriller, Horror",English,Ari Aster,"Patrik Andersson, Lars Knudsen",Ari Aster,"Aug 30, 2019 wide","Sep 24, 2019",$27.4M,2h 25m,A24,Dolby Digital,,
Carrie (1976),45.0,93%,Carrie (1976),67,R,Horror,English,Brian De Palma,"Brian De Palma, Paul Monash","Lawrence D. Cohen, Stephen King","Nov 3, 1976 wide","Sep 29, 1998",,1h 38m,"United Artists, Paramount Pictures, Criterion Collection, Metro-Goldwyn-Mayer Distributing Corp.",Mono,Flat (1.85:1),
Nosferatu: Phantom der Nacht (Nosferatu the Vampyre) (1979),46.0,95%,Nosferatu: Phantom der Nacht (Nosferatu the Vampyre) (1979),60,PG,Horror,German,Werner Herzog,"Michael Gruskoff, Werner Herzog","Werner Herzog, Bram Stoker","Oct 1, 1979 wide","Jul 9, 2002",,1h 47m,"Anchor Bay Entertainment, 20th Century Fox",,Flat (1.85:1),
Evil Dead 2: Dead by Dawn (1987),47.0,95%,Evil Dead 2: Dead by Dawn (1987),63,R,"Comedy, Horror",English,Sam Raimi,Rob Tapert,Sam Raimi,"Mar 13, 1987 original","Aug 29, 2000",$2.6M,1h 25m,"Anchor Bay Entertainment, Paramount Pictures",,,Evil Dead
The Evil Dead (1981),48.0,95%,The Evil Dead (1981),63,NC-17,Horror,English,Sam Raimi,Rob Tapert,Sam Raimi,"Oct 15, 1981 original","Oct 1, 2002",,1h 25m,"Home Box Office (HBO) [us], Image Entertainment Inc., New Line Cinema",Mono,"Flat (1.37:1), 35mm, 16mm",Evil Dead
La Llorona (2020),49.0,96%,La Llorona (2020),95,,"Drama, Mystery & thriller, Horror, Crime",Spanish,Jayro Bustamante,"Jayro Bustamante, Gustavo Matheu, Georges Renand, Marina Peralta","Jayro Bustamante, Lisandro Sanchez",,"Aug 6, 2020",,1h 37m,,,Scope (2.35:1),
The Loved Ones (2012),50.0,98%,The Loved Ones (2012),57,R (Strong Bloody Violence|Some Language|Sexuality|Teen Drug and Alcohol Use|Torture),"Mystery & thriller, Horror",English,Sean Byrne,"Mark Lazarus, Michael Boughen",Sean Byrne,"Jun 1, 2012 limited","Sep 11, 2012",,1h 24m,Paramount Insurge,,,
The Innocents (1961),51.0,94%,The Innocents (1961),54,,Horror,English,Jack Clayton,Jack Clayton,"Henry James, William Archibald, Truman Capote, John Mortimer","Dec 25, 1961 original","Sep 6, 2005",,1h 40m,Fox,Mono,Scope (2.35:1),
The Fly (1986),52.0,93%,The Fly (1986),69,R,"Sci-fi, Horror",English,David Cronenberg,Stuart Cornfeld,"David Cronenberg, Charles Edward Pogue","Aug 15, 1986 original","Oct 4, 2005",$34.9M,1h 35m,20th Century Fox,Surround,,
Spontaneous (2020),53.0,97%,Spontaneous (2020),64,R (Language|Bloody Images Throughout|Teen Drug and Alcohol Use),"Comedy, Romance, Horror",English,Brian Duffield,"Nicki Cortese, Brian Duffield, Matthew Kaplan, Jordan Levin",Brian Duffield,"Oct 2, 2020 limited","Oct 6, 2020",,1h 42m,,,Scope (2.35:1),
My Heart Can't Beat Unless You Tell It To (2021),54.0,98%,My Heart Can't Beat Unless You Tell It To (2021),49,,"Drama, Horror",English,Jonathan Cuartas,"Jesse R. Brown, Patrick Fugit, Anthony Pedone, Ian Peterson, Kenny Riches",Jonathan Cuartas,"Jun 25, 2021 limited","Jun 25, 2021",,1h 30m,Dark Sky Films,,,
A Nightmare on Elm Street (1984),55.0,95%,A Nightmare on Elm Street (1984),55,R,Horror,English,Wes Craven,Robert Shaye,Wes Craven,"Nov 9, 1984 original","Oct 25, 2005",$57.3M,1h 31m,"Anchor Bay Entertainment, New Line Cinema, New Line Home Video [us], Media Home Entertainment, Image Entertainment Inc.",Mono,,A Nightmare on Elm Street
The Boy Behind the Door (2020),56.0,97%,The Boy Behind the Door (2020),62,,"Mystery & thriller, Horror",English,"David Charbonier, Justin Powell","Ryan Lewis, John Hermann, Jim Hart, Ryan Scaringe, Rick Rosenthal","David Charbonier, Justin Powell",,"Jul 29, 2021",,1h 28m,,,,
Them! (1954),57.0,93%,Them! (1954),57,,Sci-fi,English,Gordon Douglas,David Weisbart,"Russell S. Hughes, Ted Sherdeman","Jun 19, 1954 wide","Nov 3, 2009",,1h 34m,"Warner Bros., Cinema Classics, Warner Home Vídeo",,,
Dead of Night (1945),58.0,93%,Dead of Night (1945),43,,Horror,English (United Kingdom),"Alberto Cavalcanti, Basil Dearden, Robert Hamer, Charles Crichton",Michael Balcon,"John Baines, Angus MacPhail",,"Oct 4, 2005",,1h 44m,,,,
The Love Witch (2016),59.0,95%,The Love Witch (2016),113,,"Drama, Comedy, Horror",English,Anna Biller,Anna Biller,Anna Biller,"Nov 11, 2016 limited","Feb 3, 2017",$216.0K,2h 0m,Oscilloscope Laboratories,,,
Harpoon (2019),60.0,97%,Harpoon (2019),61,,"Mystery & thriller, Comedy",English,Rob Grant,"Julian Black Antelope, Kurtis David Harder, Michael Peterson",Rob Grant,"Oct 4, 2019 limited","Oct 8, 2019",,1h 23m,Epic Pictures Group,,,
Room 237 (2013),61.0,94%,Room 237 (2013),133,,Documentary,English,Rodney Ascher,Tim Kirk,,"Mar 29, 2013 limited","Sep 24, 2013",$259.8K,1h 42m,IFC Films,,,
Werckmeister Harmonies (2001),62.0,98%,Werckmeister Harmonies (2001),41,,Drama,Unknown language,Béla Tarr,"Miklos Szita, Franz Goess","Béla Tarr, Laszlo Krasnahorkai",,"Feb 28, 2006",$25.5K,2h 25m,,,,
Suspiria (1977),63.0,93%,Suspiria (1977),59,R,"Mystery & thriller, Horror",Italian,Dario Argento,,"Thomas De Quincey, Dario Argento, Daria Nicolodi","Feb 1, 1977 original","Sep 25, 2007",,1h 32m,"Fox Lorber, Joseph Brenner Associates Inc. [us], Anchor Bay Entertainment",Dolby,Scope (2.35:1),
Re-Animator (1985),64.0,94%,Re-Animator (1985),62,,"Comedy, Horror",English,Stuart Gordon,"Charles Band, Brian Yuzna","Stuart Gordon, William Norris, Dennis Paoli","Oct 18, 1985 original","Mar 20, 2007",$2.0M,1h 26m,,,,
The Amusement Park (2019),65.0,96%,The Amusement Park (2019),72,,Horror,English,George A. Romero,,Wally Cook,,"Jun 8, 2021",,54m,,,,
Shaun of the Dead (2004),66.0,92%,Shaun of the Dead (2004),215,R (Language|Gore|Zombie Violence),"Comedy, Horror",English,Edgar Wright,Nira Park,"Simon Pegg, Edgar Wright","Apr 9, 2004 original","Dec 21, 2004",$13.5M,1h 37m,Focus Features,"Surround, Dolby SRD, DTS, SDDS",Scope (2.35:1),
Train to Busan (Busanhaeng) (2016),67.0,94%,Train to Busan (Busanhaeng) (2016),120,,"Mystery & thriller, Action, Horror",Korean,Yeon Sang-ho,Lee Dong-ha,Yeon Sang-ho,"Jul 22, 2016 limited","Jan 17, 2017",$2.1M,1h 58m,Well Go USA,"Stereo, Dolby Digital",Flat (1.85:1),
