,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
The Kid Who Would Be King (2019),68.0,90%,The Kid Who Would Be King (2019),191,PG (Language|Fantasy Action Violence|Scary Images|Some Bullying|Thematic Elements),"Kids & family, Adventure, Fantasy",English,Joe Cornish,"Nira Park, Tim Bevan, Eric Fellner",Joe Cornish,"Jan 25, 2019 wide","Apr 16, 2019",$16.8M,2h 0m,20th Century Fox,,Scope (2.35:1),
Princess Mononoke (Mononoke-hime) (1999),69.0,93%,Princess Mononoke (Mononoke-hime) (1999),112,PG-13 (Images of Violence and Gore),"Fantasy, Anime, Adventure",Japanese,Hayao Miyazaki,Toshio Suzuki,"Neil Gaiman, Hayao Miyazaki","Jul 12, 1997 original","Jul 20, 2000",,2h 13m,Miramax Films,"Dolby Digital, Dolby A, Dolby SR",Flat (1.85:1),
My Neighbor Totoro (1988),70.0,94%,My Neighbor Totoro (1988),54,G,"Fantasy, Anime",Japanese,Hayao Miyazaki,,Hayao Miyazaki,,"Feb 28, 2006",,1h 27m,,Dolby Stereo,Flat (1.85:1),
Harry Potter and the Prisoner of Azkaban (2004),71.0,90%,Harry Potter and the Prisoner of Azkaban (2004),261,PG (Frightening Moments|Creature Violence|Mild Language),"Kids & family, Adventure, Fantasy",English,Alfonso Cuarón,"Chris Columbus, David Heyman, Mark Radcliffe","J.K. Rowling, Steve Kloves","May 31, 2004 original","Nov 23, 2004",$249.4M,2h 21m,Warner Bros. Pictures,"Surround, Dolby SRD, DTS, SDDS",Scope (2.35:1),Harry Potter
Pete's Dragon (2016),72.0,88%,Pete's Dragon (2016),245,PG (Brief Language|Action|Peril),"Kids & family, Adventure, Fantasy",English,David Lowery,James Whitaker,"David Lowery, Toby Halbrooks, Malcolm Marmorstein","Aug 12, 2016 wide","Nov 29, 2016",$555,1h 43m,Walt Disney,"Datasat, Dolby Digital",Scope (2.35:1),
A Monster Calls (2017),73.0,86%,A Monster Calls (2017),267,PG-13 (Thematic Content|Some Scary Images),"Fantasy, Adventure, Drama",English,Juan Antonio Bayona,Belén Atienza,Patrick Ness,"Jan 6, 2017 wide","Mar 28, 2017",$2.2M,1h 48m,Focus Features,,,
Arthur Christmas (2011),74.0,92%,Arthur Christmas (2011),169,PG (Some Mild Rude Humor),"Drama, Fantasy, Animation, Other, Kids & family, Comedy",English,Sarah Smith,"Peter Lord, David Sproxton, Carla Shelley, Steve Pegram","Peter Baynham, Sarah Smith","Nov 23, 2011 wide","Nov 6, 2012",$46.4M,1h 40m,Sony Pictures Entertainment,"SDDS, Dolby Digital",,
Spy Kids (2001),75.0,93%,Spy Kids (2001),129,PG,"Kids & family, Adventure, Action",English,Robert Rodriguez,"Elizabeth Avellan, Robert Rodriguez",Robert Rodriguez,"Mar 30, 2001 wide","Sep 18, 2001",$112.7M,1h 28m,Miramax Films,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby EX, Dolby Digital",Flat (1.85:1),
Antz (1998),76.0,92%,Antz (1998),93,PG (Mild Language|Menacing Action),"Romance, Fantasy, Animation, Kids & family, Adventure, Comedy",English,"Eric Darnell, Tim Johnson","Brad Lewis, Aron Warner, Patty Wooton","Todd Alcott, Chris Weitz, Paul Weitz","Oct 2, 1998 wide","Jun 7, 2005",$90.7M,1h 27m,DreamWorks SKG,"Surround, Dolby SR, Dolby Digital, DTS, SDDS",Flat (1.85:1),
L'Heure d'été (Summer Hours) (2009),77.0,94%,L'Heure d'été (Summer Hours) (2009),106,,Drama,French (France),Olivier Assayas,,Olivier Assayas,"May 15, 2009 limited","Oct 6, 2009",$1.6M,1h 42m,IFC Films,,,
Harry Potter and the Goblet of Fire (2005),78.0,88%,Harry Potter and the Goblet of Fire (2005),257,PG-13 (Sequences of Fantasy Violence|Frightening Images),"Fantasy, Adventure",English,Mike Newell,David Heyman,"Steve Kloves, J.K. Rowling","Nov 18, 2005 wide","Mar 7, 2006",$290.0M,2h 37m,Warner Bros. Pictures,"Surround, Dolby SRD, DTS, SDDS",Scope (2.35:1),Harry Potter
