,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Dumbo (1941),24.0,98%,Dumbo (1941),43,G,"Kids & family, Fantasy, Animation",English,Ben Sharpsteen,Walt Disney,"Joe Grant, Dick Huemer","Oct 23, 1941 original","Sep 20, 2011",,1h 4m,RKO Radio Pictures,Stereo,,
The Princess Bride (1987),25.0,98%,The Princess Bride (1987),80,PG,"Kids & family, Adventure, Comedy",English,Rob Reiner,"Rob Reiner, Andrew Scheinman",William Goldman,"Oct 1, 1987 wide","Jul 18, 2000",$26.9M,1h 38m,20th Century Fox,"Surround, Dolby Stereo",Flat (1.85:1),
The Incredibles (2004),26.0,97%,The Incredibles (2004),249,PG (Action/Violence),"Kids & family, Adventure, Comedy, Animation",English,Brad Bird,"John Lasseter, John Walker",Brad Bird,"Nov 5, 2004 wide","Mar 15, 2005",$261.4M,1h 55m,Walt Disney Pictures,"Surround, Dolby SRD, DTS, SDDS",Scope (2.35:1),Pixar
My Life as a Zucchini (Ma vie de courgette) (2017),27.0,99%,My Life as a Zucchini (Ma vie de courgette) (2017),137,PG-13 (Thematic Elements|Suggestive Material),"Drama, Comedy, Animation",French (France),Claude Barras,"Marc Bonny, Armelle Glorennec, Pauline Gygax, Max Karli, Kateryna Merkt, Michel Merkt",Céline Sciamma,"Feb 24, 2017 limited","May 23, 2017",$292.3K,1h 6m,GKIDS,,,
Miracle on 34th Street (1947),28.0,96%,Miracle on 34th Street (1947),48,,"Drama, Comedy, Other",English,George Seaton,William Perlberg,George Seaton,"May 2, 1947 original","Oct 5, 1999",,1h 36m,20th Century Fox,,,
The Lego Batman Movie (2017),29.0,90%,The Lego Batman Movie (2017),313,PG (Rude Humor and Some Action),"Animation, Action, Kids & family, Adventure, Comedy",English,Chris McKay,"Dan Lin, Phil Lord, Chris Miller, Roy Lee","Seth Grahame-Smith, Chris McKenna, Erik Sommers, Jared Stern, John Whittington","Feb 10, 2017 wide","Jun 13, 2017",$175.7M,1h 46m,Warner Bros. Pictures,"Dolby Atmos, Dolby Digital, SDDS, Datasat",Scope (2.35:1),Batman
Chicken Run (2000),30.0,97%,Chicken Run (2000),173,G,"Kids & family, Adventure, Comedy, Animation",English,"Peter Lord, Nick Park","Peter Lord, Nick Park, David Sproxton",Karey Kirkpatrick,"Jun 21, 2000 wide","May 22, 2006",,1h 25m,DreamWorks SKG,"Dolby EX, SDDS, DTS, Surround",Flat (1.85:1),
101 Dalmatians (1961),31.0,98%,101 Dalmatians (1961),52,G,"Kids & family, Adventure, Comedy, Animation",English,"Wolfgang Reitherman, Hamilton Luske, Clyde Geronimi",Walt Disney,"Bill Peet, Dodie Smith",,"Mar 4, 2008",$91.3M,1h 19m,,Surround,,
Beauty and the Beast (1991),32.0,94%,Beauty and the Beast (1991),118,G,"Kids & family, Fantasy, Animation",English,"Gary Trousdale, Kirk Wise",Don Hahn,Linda Woolverton,"Nov 13, 1991 original","Aug 6, 2002",$219.0M,1h 24m,"BV International Pictures [no], Buena Vista Pictures",Surround,,
The Nightmare Before Christmas (1993),33.0,95%,The Nightmare Before Christmas (1993),100,PG (Some Scary Images),"Fantasy, Animation, Other, Kids & family, Comedy",English,Henry Selick,"Tim Burton, Denise Di Novi, Kathleen Gavin","Michael McDowell, Caroline Thompson","Oct 29, 1993 wide","Oct 3, 2000",$2.4M,1h 15m,Touchstone Pictures,"Surround, Dolby SR, Dolby Digital, Dolby Stereo",Flat (1.85:1),
Paddington (2015),34.0,97%,Paddington (2015),164,PG (Rude Humor|Mild Action),"Kids & family, Adventure, Comedy",English,Paul King,David Heyman,"Paul King, Hamish McColl","Jan 16, 2015 wide","Apr 28, 2015",,1h 35m,Weinstein Co.,Dolby Digital,,
Onward (2020),35.0,88%,Onward (2020),337,PG (Some Mild Thematic Elements|Action/Peril),"Fantasy, Animation, Kids & family, Adventure, Comedy",English,Dan Scanlon,Kori Rae,"Dan Scanlon, Jason Headley, Keith Bunin","Mar 6, 2020 wide","Mar 6, 2020",$60.4M,1h 43m,Walt Disney,"Dolby Atmos, DTS",Scope (2.35:1),Pixar
"Monsters, Inc. (2001)",36.0,96%,"Monsters, Inc. (2001)",199,G,"Fantasy, Animation, Kids & family, Adventure, Comedy",English,Pete Docter,Darla K. Anderson,"Pete Docter, Jill Culton, Jeff Pidgeon, Ralph Eggleston, Andrew Stanton, Daniel Gerson","Nov 2, 2001 wide","Sep 17, 2002",$494.0K,1h 32m,Walt Disney Pictures,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Scope (2.35:1),Pixar
Big (1988),37.0,97%,Big (1988),76,PG,"Kids & family, Comedy, Fantasy",English,Penny Marshall,"James L. Brooks, Robert Greenhut","Gary Ross, Anne Spielberg","Jun 3, 1988 original","Oct 5, 1999",$113.5M,1h 44m,20th Century Fox,Surround,,
Spirited Away (2002),38.0,97%,Spirited Away (2002),195,PG (Some Scary Moments),"Fantasy, Adventure, Animation",Japanese,"Hayao Miyazaki, Kirk Wise","Donald W. Ernst, Toshio Suzuki",Hayao Miyazaki,"Sep 20, 2002 wide","Apr 15, 2003",$10.0M,2h 5m,Walt Disney Pictures,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",Flat (1.85:1),
The Muppets (2011),39.0,95%,The Muppets (2011),231,PG (Some Mild Rude Humor),"Kids & family, Comedy",English,James Bobin,"David Hoberman, Todd Lieberman","Jason Segel, Nicholas Stoller","Nov 23, 2011 wide","Mar 20, 2012",$88.6M,1h 38m,Walt Disney,,,
The Lion King (1994),40.0,93%,The Lion King (1994),136,G,"Kids & family, Musical, Adventure, Animation",English,"Roger Allers, Rob Minkoff",Don Hahn,"Irene Mecchi, Jonathan Roberts, Linda Woolverton","Jun 24, 1994 wide","Oct 4, 2011",$422.8M,1h 27m,Walt Disney Pictures,"Dolby SR, DTS, Dolby Stereo, SDDS, DTS-ES, Dolby A, Surround, Dolby Digital",Flat (1.85:1),
Song Of The Sea (2014),41.0,99%,Song Of The Sea (2014),97,PG (Pipe Smoking Images|Language|Some Mild Peril),"Fantasy, Adventure, Animation",English,Tomm Moore,"Tomm Moore, Ross Murray, Paul Young, Stéphan Roelants, Serge Ume, Isabelle Truc, Clément Calvet, Jeremie Fajner, Frederik Villumsen, Claus Toksvig Kjaer",Will Collins,,"Mar 17, 2015",$850.0K,1h 34m,,,,
The Iron Giant (1999),42.0,96%,The Iron Giant (1999),142,PG (Mild Language|Fantasy Action),"Kids & family, Adventure, Fantasy, Animation",English,Brad Bird,"Des McAnuff, Allison Abbate","Ted Hughes, Brad Bird, Tim McCanlies","Aug 4, 1999 wide","Sep 27, 2005",,1h 26m,Warner Bros. Pictures,Surround,,
Fantasia (1940),43.0,95%,Fantasia (1940),56,G,"Kids & family, Fantasy, Animation",English,"James Algar, Samuel Armstrong, Ford Beebe, Norman Ferguson, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield",Walt Disney,"Joe Grant, Dick Huemer, Lee Blair, Elmer Plummer, Phil Dike, Sylvia Moberly-Holland, Norman Wright","Nov 13, 1940 original","Feb 20, 2007",$24.8M,2h 0m,"RKO Radio Pictures, Walt Disney Home Video [gb], Buena Vista Pictures","Surround, Magnetic Stereo 6 Track, Fantasound, Dolby Stereo, Mono",Academy (1.33:1),
Who Framed Roger Rabbit (1988),44.0,97%,Who Framed Roger Rabbit (1988),67,PG,Comedy,English,Robert Zemeckis,"Robert Watts, Frank Marshall","Jeffrey Price, Peter S. Seaman","Jun 21, 1988 wide","Mar 25, 2003",$152.8M,1h 44m,Touchstone Pictures,"Surround, Dolby Atmos",Flat (1.85:1),
How to Train Your Dragon: The Hidden World (2019),45.0,90%,How to Train Your Dragon: The Hidden World (2019),272,PG (Some Mild Rude Humor|Adventure Action),"Fantasy, Animation, Kids & family, Adventure, Comedy",English,Dean DeBlois,"Brad Lewis, Bonnie Arnold",Dean DeBlois,"Feb 22, 2019 wide","May 21, 2019",$160.8M,1h 44m,Universal Pictures,"DTS, Dolby Digital, Dolby Atmos",Scope (2.35:1),How to Train Your Dragon
Babe (1995),46.0,97%,Babe (1995),70,G,"Kids & family, Comedy, Fantasy, Drama",English (Australia),Chris Noonan,"Bill Miller, George Miller, Doug Mitchell","Dick King-Smith, George Miller, Chris Noonan","Aug 4, 1995 original","Sep 23, 2003",$63.6M,1h 34m,"Universal Home Entertainment, Universal Pictures, MCA/Universal Pictures [us]","Surround, Stereo",,
Wallace & Gromit: The Curse of the Were-Rabbit (2005),47.0,95%,Wallace & Gromit: The Curse of the Were-Rabbit (2005),184,,,,Steve Box,,,,,,,,,,
Fantastic Mr. Fox (2009),48.0,93%,Fantastic Mr. Fox (2009),245,PG (Slang Humor|Action|Smoking),"Kids & family, Adventure, Comedy, Animation",English,Wes Anderson,"Wes Anderson, Scott Rudin, Allison Abbate, Jeremy Dawson","Wes Anderson, Noah Baumbach","Nov 25, 2009 wide","Mar 23, 2010",$21.0M,1h 28m,20th Century Fox,,,
Yellow Submarine (1968),49.0,95%,Yellow Submarine (1968),60,G,"Musical, Comedy, Adventure, Animation",English,George Dunning,,"Al Brodax, Roger McGough, Jack Mendelsohn, Lee Minoff, Erich Segal","Nov 13, 1968 wide","Jun 5, 2012",$992.3K,1h 25m,United Artists,Stereo,1.66:1,
Mary Poppins (1964),50.0,96%,Mary Poppins (1964),55,G,"Kids & family, Musical",English,Robert Stevenson,Walt Disney,,"Aug 27, 1964 original","Jan 27, 2009",,2h 20m,"Buena Vista Home Entertainment [br], Walt Disney Pictures, Gativideo, Buena Vista Pictures","Surround, Stereo",,
My Fair Lady (1964),51.0,95%,My Fair Lady (1964),62,G,Musical,English,George Cukor,"James C. Katz, Jack L. Warner",Alan Jay Lerner,"Dec 25, 1964 wide","Mar 4, 2003",$447.6K,2h 50m,"20th Century Fox, Fox, Paramount Pictures, CBS/Fox","Mono, Dolby Digital, DTS",,
