,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
The Lost Weekend (1945),60.0,97%,The Lost Weekend (1945),62,,Drama,English,Billy Wilder,Charles Brackett,"Charles R. Jackson, Charles Brackett, Billy Wilder","Nov 16, 1945 wide","Feb 1, 2005",,1h 41m,Paramount Pictures,Mono,Flat (1.37:1),
The Big Sleep (1946),61.0,97%,The Big Sleep (1946),65,,"Drama, Mystery & thriller, Crime",English,Howard Hawks,Howard Hawks,"William Faulkner, Leigh Brackett, Jules Furthman","Aug 31, 1946 original","Feb 15, 2000",,1h 54m,Warner Bros.,,,
Goldfinger (1964),62.0,99%,Goldfinger (1964),69,PG,Action,English,Guy Hamilton,"Albert R. Broccoli, Harry Saltzman","Ian Fleming, Richard Maibaum, Paul Dehn","Dec 25, 1964 wide","Nov 7, 2006",,1h 52m,United Artists,Mono,Flat (1.85:1),James Bond 007
Cool Hand Luke (1967),63.0,100%,Cool Hand Luke (1967),53,PG,Drama,English,Stuart Rosenberg,Gordon Carroll,"Frank Pierson, Donn Pearce, Donn Pearce","Nov 1, 1967 wide","Jun 24, 1997",,2h 9m,"Warner Home Vídeo, Warner Bros. Pictures",Mono,Scope (2.35:1),
The 400 Blows (Les Quatre cents coups) (1959),64.0,98%,The 400 Blows (Les Quatre cents coups) (1959),66,,"Drama, Crime",French (France),François Truffaut,François Truffaut,"François Truffaut, François Truffaut, Marcel Moussy","Nov 16, 1959 wide","May 9, 2006",,1h 33m,Criterion Collection,Mono,,
Anatomy of a Murder (1959),65.0,100%,Anatomy of a Murder (1959),50,,"Drama, Mystery & thriller, Crime",English,Otto Preminger,Otto Preminger,"John D. Voelker, Wendell Mayes","Jul 1, 1959 original","Jul 11, 2000",,2h 40m,Columbia Pictures,Mono,Flat (1.85:1),
Stagecoach (1939),66.0,100%,Stagecoach (1939),45,,Western,English,John Ford,John Ford,"Ernest Haycox, Dudley Nichols, Ben Hecht","Mar 2, 1939 wide","Sep 3, 2002",,1h 36m,"UCLA Film and Television Archive [us], United Artists, Warner Home Vídeo",,Flat (1.37:1),
Invasion of the Body Snatchers (1956),67.0,98%,Invasion of the Body Snatchers (1956),58,,"Sci-fi, Horror",English,Don Siegel,Walter Wanger,Daniel Mainwaring,"Feb 5, 1956 original","Jun 23, 1998",,1h 20m,,,,
The Passion of Joan of Arc (La Passion de Jeanne d'Arc) (1928),68.0,98%,The Passion of Joan of Arc (La Passion de Jeanne d'Arc) (1928),59,,"Drama, Biography, History",,Carl Theodor Dreyer,,"Carl Theodor Dreyer, Joseph Delteil","Apr 21, 1928 original","Nov 9, 1999",$6.4K,1h 17m,"Criterion Collection, Video Yesteryear, Janus Films, LS Video",,35mm,
Sweet Smell of Success (1957),69.0,98%,Sweet Smell of Success (1957),55,,Drama,English,Alexander Mackendrick,James Hill,"Ernest Lehman, Clifford Odets","Jun 27, 1957 wide","Jun 19, 2001",,1h 36m,"MGM/UA Home Entertainment Inc., United Artists",Mono,,
Paths of Glory (1957),70.0,96%,Paths of Glory (1957),68,,"War, Drama",English,Stanley Kubrick,"Kirk Douglas, James B. Harris","Humphrey Cobb, Stanley Kubrick, Calder Willingham, Jim Thompson","Oct 25, 1957 original","May 1, 2001",,1h 26m,"Criterion Collection, United Artists, MGM/UA Home Entertainment Inc.","Mono, Stereo","Flat (1.37:1), 35mm",
