,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
An Inconvenient Truth (2006),66.0,93%,An Inconvenient Truth (2006),166,PG (Mild Thematic Elements),Documentary,English,Davis Guggenheim,"Laurie Lennard, Lawrence Bender",,"Jan 24, 2006 original","Nov 21, 2006",$23.8M,1h 35m,,,,
Winged Migration (2003),67.0,95%,Winged Migration (2003),132,G,Documentary,French (France),Jacques Perrin,"Christophe Barratier, Jacques Perrin","Stéphane Durand, Jacques Perrin, Francis Roux","Apr 18, 2003 original","Nov 22, 2005",$10.8M,1h 31m,Sony Pictures Classics,"Dolby Stereo, Dolby Digital, Dolby A, Dolby SR",Flat (1.85:1),
Sicko (2007),68.0,91%,Sicko (2007),219,PG-13 (Brief Strong Language),Documentary,English,Michael Moore,"Michael Moore, Meghan O'Hara",Michael Moore,"Jun 29, 2007 wide","Nov 6, 2007",$24.5M,1h 53m,Weinstein Co.,"Dolby SRD, DTS, SDDS",Flat (1.85:1),
Sweetgrass (2009),69.0,97%,Sweetgrass (2009),64,,Documentary,English,"Lucien Castaing-Taylor, Illisa Barbash",Ilisa Barbash,,"Jan 6, 2010 limited","Aug 3, 2010",$206.7K,1h 42m,Cinema Guild,,,
"Bigger, Stronger, Faster* (2008)",70.0,96%,"Bigger, Stronger, Faster* (2008)",76,PG-13 (Thematic Material Invol Drugs|Some Sexual Content|Language|Violent Images),Documentary,English,Chris Bell,"Alexander Buono, Jim Czarnecki, Dave Wein","Chris Bell, Alexander Buono, Tamsin Rawady","May 30, 2008 limited","Sep 30, 2008",$307.8K,1h 45m,Magnolia Pictures,,,
Trouble the Water (2008),71.0,96%,Trouble the Water (2008),76,,Documentary,English,Carl Deal,Carl Deal,,"Aug 22, 2008 limited","Aug 25, 2009",$520.0K,1h 33m,Zeitgeist Films,,,
"Food, Inc. (2009)",72.0,95%,"Food, Inc. (2009)",114,PG (Some Thematic Material|Disturbing Images),Documentary,English,Robert Kenner,"Robert Kenner, Elise Pearlstein","Robert Kenner, Elise Pearlstein","Jun 12, 2009 limited","Nov 3, 2009",$4.4M,1h 34m,Magnolia Pictures,,,
Shaun of the Dead (2004),73.0,92%,Shaun of the Dead (2004),215,R (Language|Gore|Zombie Violence),"Comedy, Horror",English,Edgar Wright,Nira Park,"Simon Pegg, Edgar Wright","Apr 9, 2004 original","Dec 21, 2004",$13.5M,1h 37m,Focus Features,"Surround, Dolby SRD, DTS, SDDS",Scope (2.35:1),
Chasing Ice (2012),74.0,96%,Chasing Ice (2012),72,PG-13 (Brief Strong Language),"Biography, Documentary",English,Jeff Orlowski,"Jerry Aronson, Paula Dupré Pesmen, Jeff Orlowski",Mark Monroe,"Nov 9, 2012 limited","Jan 14, 2014",,1h 14m,Submarine Deluxe,,,
To Be and to Have (Etre et Avoir) (2003),75.0,97%,To Be and to Have (Etre et Avoir) (2003),59,,Documentary,French (Canada),Nicolas Philibert,Gilles Sandoz,,"Sep 5, 2003 wide","May 1, 2008",$775.6K,1h 45m,New Yorker Films,"Surround, Dolby A",,
The Salt of the Earth (2015),76.0,95%,The Salt of the Earth (2015),94,PG-13 (Images of Violence/Suffering|Disturbing Images|Nudity|Thematic Material),Documentary,French (France),"Wim Wenders, Juliano Ribeiro Salgado",David Rosier,"Juliano Ribeiro Salgado, Wim Wenders, David Rosier, Wim Wenders","Mar 27, 2015 limited","Jul 14, 2015",$1.1M,1h 49m,Sony Pictures Classics,,,
The Wild Parrots of Telegraph Hill (2005),77.0,95%,The Wild Parrots of Telegraph Hill (2005),101,G,Documentary,English,Judy Irving,Judy Irving,,"Oct 9, 2003 original","Dec 13, 2005",,1h 23m,,,,
The Gatekeepers (2013),78.0,94%,The Gatekeepers (2013),113,PG-13 (Violent Content|Disturbing Images),Documentary,Hebrew,Dror Moreh,"Dror Moreh, Estelle Fialon, Philippa Kowarsky",,"Feb 1, 2013 limited","Jul 9, 2013",$2.4M,1h 36m,Sony Pictures Classics,,,
"20,000 Days on Earth (2014)",79.0,95%,"20,000 Days on Earth (2014)",88,,Drama,English,"Iain Forsyth, Jane Pollard","James Wilson, Dan Bowen","Iain Forsyth, Jane Pollard","Sep 19, 2014 limited","Apr 7, 2015",$277.8K,1h 37m,Drafthouse Films,,,
Wordplay (2006),80.0,94%,Wordplay (2006),123,PG (Some Language|Mild Thematic Elements),Documentary,English,Patrick Creadon,Christine O'Malley,,"Jan 21, 2006 original","Nov 7, 2006",$3.1M,1h 34m,,,,
Control Room (2004),81.0,95%,Control Room (2004),111,,Documentary,Arabic,Jehane Noujaim,"Rosadel Varela, Hani Salama","Julia Bacha, Jehane Noujaim","Jan 21, 2004 original","Jun 15, 2017",$2.6M,1h 25m,Magnolia Films,Dolby SR,Flat (1.85:1),
Bus 174 (Ônibus 174) (2003),82.0,96%,Bus 174 (Ônibus 174) (2003),79,R (Language|Violent Images|Some Drug Material),Documentary,Portuguese (Brazil),"José Padilha, Felipe Lacerda",José Padilha,,"Oct 8, 2003 original","Jul 20, 2004",$216.2K,2h 13m,ThinkFilm,Surround,,
Touching the Void (2004),83.0,94%,Touching the Void (2004),140,R (Language),"Drama, Adventure",English,Kevin Macdonald,John Smithson,,"Sep 5, 2003 original","Jun 15, 2004",$4.6M,1h 47m,IFC Films,Surround,,
Born Into Brothels (2004),84.0,95%,Born Into Brothels (2004),108,R (Sequences of Strong Language),"Biography, Documentary",English,"Zana Briski, Ross Kauffman","Zana Briski, Ross Kauffman","Ross Kauffman, Zana Briski","Jan 18, 2004 original","Sep 20, 2005",$3.4M,1h 25m,ThinkFilm,,,
My Winnipeg (2007),85.0,95%,My Winnipeg (2007),92,,"Drama, Comedy, Documentary",English,Guy Maddin,"Jody Shapiro, Phyllis Lang","Guy Maddin, George Toles","Jun 13, 2008 limited","Apr 30, 2009",$156.6K,1h 20m,IFC First Take,Dolby Digital,,
Manakamana (2014),86.0,96%,Manakamana (2014),54,,Documentary,Nepali,"Stephanie Spray, Pacho Velez","Lucien Castaing-Taylor, Verena Paravel",,"Apr 18, 2014 limited","Aug 19, 2014",,1h 58m,Cinema Guild,,,
I Am Divine (2013),87.0,96%,I Am Divine (2013),54,,Documentary,English,Jeffrey Schwarz,"Jeffrey Schwarz, Lotti Pharriss Knowles",,,"Apr 8, 2014",$63.7K,1h 30m,,,,
Cutie And The Boxer (2013),88.0,95%,Cutie And The Boxer (2013),75,R (Nude Art Images),"Biography, Documentary",English,Zachary Heinzerling,"Patrick Burns, Lydia Dean Pilcher, Ezra Edelman, Zachary Heinzerling",Zachary Heinzerling,"Aug 16, 2013 limited","Feb 4, 2014",$199.3K,1h 22m,Radius TWC,,,
Brooklyn Castle (2012),89.0,96%,Brooklyn Castle (2012),53,PG (Some Language),Documentary,English,Katie Dellamaggiore,"Katie Dellamaggiore, Nelson Dellamaggiore, Brian Schultz",,"Oct 19, 2012 limited","Jun 4, 2013",$219.4K,1h 41m,PDA,,,
Deep Water (2006),90.0,96%,Deep Water (2006),55,PG (Incidental Smoking|Thematic Elements|Mild Language),Documentary,English,"Louise Osmond, Jerry Rothwell",,"Louise Osmond, Jerry Rothwell","Aug 24, 2007 limited","Dec 18, 2007",$270.5K,1h 33m,IFC Films,Dolby Digital,,
